Square_Feet,Bedrooms,Bathrooms,Age,Location_Score,Has_Garage,Price
2406.0,3,1,16,8.0,0,463062
2314.0,2,2,21,8.0,1,502692
1585.0,2,3,47,2.0,0,315854
1719.0,3,1,36,2.0,0,332359
2373.0,4,1,14,3.0,0,458371
2305.0,4,1,34,3.0,1,446824
1989.0,5,2,27,1.0,0,453137
2058.0,5,2,6,3.0,1,480011
2638.0,1,2,31,6.0,0,497323
1704.0,2,2,10,8.0,1,444570
2273.0,5,3,9,10.0,1,610377
1898.0,4,3,8,6.0,1,492990
1891.0,3,2,13,5.0,0,425506
2549.0,4,3,12,4.0,0,529099
2412.0,2,1,24,3.0,1,456246
2406.0,4,1,1,4.0,1,509954
2652.0,1,1,34,7.0,1,537270
2010.0,2,2,6,1.0,0,380645
2340.0,3,1,20,7.0,0,505831
1844.0,1,3,17,1.0,0,409924
2162.0,2,2,2,2.0,0,450442
1934.0,3,3,41,4.0,1,424860
2048.0,1,1,38,1.0,1,341746
2297.0,1,1,40,9.0,0,509002
1590.0,2,1,48,6.0,0,306249
3046.0,5,2,10,1.0,1,628114
1496.0,1,3,38,1.0,0,317362
1392.0,1,2,23,6.0,0,329880
2579.0,3,2,45,4.0,0,485275
2395.0,4,1,18,4.0,0,440357
2312.0,2,2,3,6.0,0,512051
2314.0,2,2,25,7.0,0,507598
1993.0,5,1,37,9.0,1,459722
1551.0,5,2,41,,0,417754
2037.0,2,1,31,5.0,0,410496
1661.0,5,1,38,9.0,1,450764
2487.0,3,1,44,4.0,1,484145
1926.0,2,1,45,10.0,1,408242
1587.0,5,2,35,2.0,0,339801
1839.0,2,1,39,3.0,1,377465
2206.0,4,1,36,1.0,0,430938
1718.0,1,2,32,6.0,0,360259
1588.0,2,2,35,6.0,0,417891
2121.0,1,3,2,1.0,1,403788
2122.0,5,2,8,3.0,1,476207
1746.0,1,2,7,5.0,1,412824
1764.0,2,3,32,3.0,1,392581
2116.0,4,2,5,10.0,1,521596
1275.0,5,2,40,3.0,0,322446
1296.0,2,2,38,10.0,0,365677
1640.0,5,2,3,3.0,0,404199
1893.0,3,3,12,5.0,0,455246
2155.0,1,2,48,5.0,1,424655
2737.0,3,2,1,4.0,1,539115
2428.0,2,3,4,1.0,0,467284
1920.0,4,1,43,5.0,1,423926
1990.0,5,3,26,10.0,1,541568
1498.0,1,1,31,5.0,0,319734
1990.0,5,3,20,4.0,0,477217
1855.0,2,3,7,6.0,1,451721
2161.0,5,2,37,10.0,1,537817
1586.0,1,1,7,,0,360202
2259.0,2,2,49,7.0,0,457727
2766.0,5,1,2,7.0,0,566816
1945.0,4,3,43,2.0,1,399712
2200.0,2,3,2,3.0,0,493771
2345.0,2,1,21,1.0,0,460561
1799.0,4,2,5,8.0,1,514232
2112.0,3,2,1,9.0,1,541603
2006.0,1,2,22,4.0,1,398821
2048.0,3,2,43,6.0,1,454041
1613.0,5,3,1,,1,535006
2012.0,4,3,37,6.0,0,475262
2248.0,3,3,16,9.0,0,531013
2725.0,2,3,34,4.0,1,565465
2479.0,5,3,33,8.0,1,552115
3076.0,5,2,22,9.0,1,662008
1616.0,3,2,29,4.0,1,356295
2436.0,3,2,7,5.0,1,550139
2091.0,4,2,21,8.0,0,510502
3094.0,1,3,43,10.0,0,622254
1595.0,3,3,35,6.0,0,367426
1580.0,3,3,4,7.0,0,427506
1700.0,2,1,12,3.0,1,365835
938.0,5,2,28,7.0,0,292795
1737.0,1,2,30,8.0,1,429024
1620.0,2,3,46,10.0,1,413050
2075.0,4,2,15,6.0,1,457091
2170.0,4,2,41,10.0,0,470897
2938.0,3,3,29,9.0,1,606618
,3,1,15,6.0,0,517437
1711.0,4,1,11,9.0,0,444410
1550.0,3,1,16,4.0,1,374013
2245.0,1,3,15,8.0,1,541443
1339.0,3,2,11,4.0,1,389648
2915.0,5,3,7,2.0,0,580443
2589.0,3,3,19,10.0,1,624511
1765.0,2,2,2,9.0,0,413259
1143.0,1,1,15,5.0,1,335917
2676.0,2,1,29,4.0,1,486279
1942.0,2,3,44,2.0,0,364547
2618.0,5,1,22,1.0,0,480757
1202.0,1,3,27,7.0,0,290143
1700.0,1,3,39,6.0,0,381814
2002.0,1,2,4,2.0,0,411647
2023.0,1,2,19,8.0,0,449714
1774.0,1,2,39,4.0,1,338593
2311.0,5,3,43,8.0,1,598234
1466.0,3,2,0,7.0,0,413630
1928.0,2,1,29,5.0,1,481055
2060.0,1,1,20,10.0,0,443872
2257.0,3,3,19,10.0,1,588497
2355.0,3,3,5,8.0,1,592731
1437.0,2,2,21,9.0,0,377285
1232.0,5,3,17,5.0,0,398076
2638.0,4,3,7,10.0,0,613564
2166.0,4,1,38,5.0,1,452877
1625.0,3,1,31,2.0,0,240964
2775.0,2,2,32,5.0,1,564475
2057.0,4,3,15,3.0,0,425412
2589.0,3,3,11,7.0,1,578581
2033.0,5,1,37,10.0,1,477294
3030.0,4,3,33,5.0,0,597344
2877.0,3,1,13,8.0,1,624647
1875.0,3,2,35,1.0,1,386528
2485.0,1,1,32,3.0,0,463491
2322.0,5,3,22,3.0,1,552940
2684.0,1,2,49,9.0,0,524380
1517.0,2,1,44,5.0,0,306585
2343.0,1,1,1,9.0,0,539393
2529.0,1,2,40,9.0,0,545276
1120.0,4,2,20,1.0,1,316514
1408.0,3,1,1,2.0,1,321395
980.0,5,3,26,5.0,1,346566
1865.0,1,1,8,4.0,0,389486
2358.0,5,2,0,10.0,1,630013
2751.0,1,1,10,9.0,1,573328
2037.0,2,2,2,7.0,0,431884
2814.0,1,2,22,6.0,0,567355
1309.0,4,3,25,7.0,1,332390
1148.0,3,2,3,1.0,0,270912
1972.0,2,2,17,1.0,0,363220
2192.0,1,3,5,8.0,0,483051
1983.0,5,2,34,2.0,0,394724
966.0,2,3,21,10.0,1,389334
1955.0,2,3,42,9.0,0,476763
1347.0,1,2,14,7.0,0,341756
2334.0,2,2,21,6.0,0,517440
2183.0,5,1,36,1.0,0,389892
1530.0,2,3,41,1.0,0,283542
1743.0,5,1,11,2.0,0,407039
1470.0,1,2,46,6.0,0,338991
1968.0,3,1,48,6.0,0,390693
2477.0,2,3,41,2.0,1,457163
1507.0,3,1,37,1.0,0,330543
2252.0,5,3,17,10.0,1,542797
1734.0,2,2,44,5.0,0,351139
1603.0,4,2,34,5.0,0,382164
1946.0,3,3,29,2.0,0,452954
1482.0,2,2,23,6.0,0,368877
1723.0,3,2,41,9.0,1,449457
1401.0,2,2,29,2.0,0,286915
2982.0,1,2,13,10.0,0,638512
2017.0,3,3,5,2.0,1,465182
1650.0,4,1,2,3.0,1,360788
2106.0,4,1,15,7.0,0,495723
1943.0,5,2,6,6.0,1,519709
1889.0,2,1,13,8.0,1,475434
2307.0,3,1,8,8.0,1,533883
2378.0,5,2,14,6.0,0,508795
1734.0,3,2,20,10.0,0,392370
1712.0,2,1,34,3.0,0,341726
1862.0,4,3,1,3.0,1,490348
849.0,1,2,26,1.0,0,226238
1242.0,4,3,1,,1,430701
2683.0,5,1,34,5.0,0,531594
2822.0,1,2,17,4.0,0,563486
1875.0,5,3,13,10.0,1,556354
2288.0,2,2,19,4.0,0,453634
2155.0,1,1,17,4.0,1,458164
3539.0,5,3,9,6.0,1,733451
2559.0,2,1,24,8.0,0,538350
1936.0,4,1,1,8.0,1,461922
1522.0,2,2,24,5.0,0,323744
1196.0,3,3,32,6.0,0,358855
2101.0,2,1,35,4.0,1,448589
1621.0,2,1,30,9.0,0,403990
1288.0,3,3,13,8.0,1,407399
1676.0,5,1,0,10.0,0,406618
1459.0,5,1,45,10.0,0,386978
2843.0,2,3,15,1.0,0,547804
2440.0,3,3,45,2.0,0,452631
1996.0,3,3,2,9.0,0,494587
2739.0,4,3,34,8.0,1,647960
2038.0,5,2,40,3.0,1,444192
1569.0,1,3,5,8.0,1,446719
2761.0,5,2,24,1.0,1,569503
2269.0,5,2,12,10.0,1,553314
1481.0,4,2,33,4.0,1,373980
1904.0,1,1,7,3.0,0,416591
1562.0,4,2,20,6.0,0,439780
1308.0,1,2,33,7.0,1,344198
