order_id,order_date,quarter_month,order_time,order_time_by_category_python,order_time_category_excel,region,islands,category,product_name,quantity,unit_price,total_cost,shipping_cost,discount,final_amount,payment_method,shipping_type,status,customer_rating,delivered_rating,accept_rating,anomaly_remarks
ORD-01027,12/7/2024,Q4,3:22,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 919,7,15114.81,105803.67,281.44,7514.3,98570.81,GCash,Economy,Delivered,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01028,6/19/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,13:51,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 327,5,2133.71,10668.55,145.64,123.94,10690.25,GCash,Economy,Shipped,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01029,4/26/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,7:01,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Bicol Region,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 509,7,2606.62,18246.34,291.72,1527.9,17010.16,GrabPay,Same Day,Delivered,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01030,5/13/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,5:37,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,SOCCSKSARGEN,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 623,1,3589.6,3589.6,232.14,337.79,3483.95,Credit Card,Economy,Returned,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01031,5/10/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,1:45,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 472,1,2438.88,2438.88,221.71,687.96,1972.63,COD,Standard,Shipped,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01032,6/9/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,21:54,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Bicol Region,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 230,5,3401.09,17005.45,131.55,3556.9,13580.1,GCash,Economy,Cancelled,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01033,11/11/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,18:19,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,SOCCSKSARGEN,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 770,9,981.24,8831.16,102.55,2081.75,6851.96,Maya,Economy,Cancelled,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01034,12/11/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,6:32,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 938,3,533.11,1599.33,215.96,297.12,1518.17,GCash,Same Day,Processing,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01035,3/16/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,0:02,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,SOCCSKSARGEN,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 299,8,2328.62,18628.96,163.85,4952.34,13840.47,GrabPay,Economy,Cancelled,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01036,5/4/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,4:41,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Electronics,Electronics Item 151,2,11332.64,22665.28,251.03,4731.91,18184.4,Bank Transfer,Express,Delivered,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01037,3/9/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,14:42,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Bicol Region,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 536,9,19025.77,171231.93,272.86,31471.69,140033.1,Bank Transfer,Economy,Processing,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01038,8/18/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,8:48,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 830,5,1611.77,8058.85,206.69,663.88,7601.66,Maya,Express,Shipped,3,3,3,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01039,6/12/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,17:05,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Northern Mindanao,mindanao,Home & Living,Home & Living Item 438,3,10501.06,31503.18,226.6,607.02,31122.76,Bank Transfer,Economy,Cancelled,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01040,4/15/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,13:24,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Western Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Health,Health Item 405,1,3851.41,3851.41,145.1,6.81,3989.7,COD,Economy,Returned,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01041,11/4/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,7:31,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Northern Mindanao,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 841,5,184.17,920.85,134.03,187.62,867.26,GCash,Economy,Processing,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01042,9/30/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,0:58,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 286,10,178.6,1786,210.69,72.71,1923.98,Credit Card,Same Day,Cancelled,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01043,4/18/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,14:20,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Groceries,Groceries Item 119,7,1904.85,13333.95,155.39,3339.8,10149.54,GrabPay,Standard,Shipped,2,2,2,False
ORD-01044,11/28/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,2:49,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Electronics,Electronics Item 584,1,10368.35,10368.35,55.1,473.99,9949.46,GrabPay,Standard,Returned,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01045,8/26/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,22:16,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Groceries,Groceries Item 418,3,1929.28,5787.84,229.59,1350.52,4666.91,Credit Card,Standard,Shipped,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01046,12/12/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,12:25,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 970,2,2508.66,5017.32,110.71,1049.41,4078.62,GrabPay,Standard,Returned,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01047,6/26/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,17:27,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Groceries,Groceries Item 543,2,715.4,1430.8,262.39,352.98,1340.21,Maya,Economy,Processing,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01048,3/31/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,23:33,Evening,Evening,SOCCSKSARGEN,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 374,10,4397.75,43977.5,170.87,5746.64,38401.73,Maya,Express,Delivered,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01049,8/18/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,7:48,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 599,10,661.64,6616.4,57.17,1689.07,4984.5,GCash,Same Day,Shipped,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01050,5/23/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,19:44,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 807,147,867.78,127563.66,230.02,18697.43,109096.25,COD,Economy,Cancelled,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01051,2/17/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,9:14,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Northern Mindanao,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 863,4,1786.51,7146.04,168.32,1138.2,6176.16,Bank Transfer,Same Day,Shipped,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01052,5/18/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,9:16,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 296,2,1015.09,2030.18,235.72,579.14,1686.76,GCash,Economy,Shipped,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01053,9/25/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,19:18,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 380,4,1932.23,7728.92,125.57,1641.67,6212.82,Credit Card,Standard,Returned,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01054,12/23/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,4:40,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 152,2,924.99,1849.98,167.35,244.46,1772.87,Maya,Economy,Delivered,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01055,7/24/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,15:04,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Health,Health Item 221,1,4074.6,4074.6,287.28,104.12,4257.76,Bank Transfer,Economy,Returned,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01056,11/12/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,7:49,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 682,7,9133.06,63931.42,265.04,18988.23,45208.23,Bank Transfer,Standard,Returned,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01057,4/16/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,20:13,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Ilocos Region,luzon,Sports,Sports Item 805,2,1555.75,3111.5,68.77,2.5,3177.77,Bank Transfer,Economy,Shipped,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01058,4/28/2024,Q2,9:45,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 535,169,7406.51,1251700.19,246.96,234715.57,1017231.58,Credit Card,Express,Processing,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01059,3/13/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,2:03,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Home & Living,Home & Living Item 805,5,12416.33,62081.65,280.3,8179.01,54182.94,Maya,Economy,Shipped,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01060,10/3/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,15:28,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 790,271,3725.76,1009680.96,200.93,7834.59,1002047.3,Bank Transfer,Standard,Shipped,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01061,1/21/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,5:30,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 193,8,4039.04,32312.32,196.33,6153.41,26355.24,COD,Same Day,Cancelled,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01062,6/13/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,21:06,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Bicol Region,Function 'define_island' not found in workbook settings or app-functions.json,Home & Living,Home & Living Item 137,6,7583.39,45500.34,215.65,5466.21,40249.78,COD,Standard,Shipped,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01063,6/14/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,3:49,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,NCR,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 292,9,103.34,930.06,267.34,128.9,1068.5,Bank Transfer,Same Day,Returned,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01064,11/16/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,14:48,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Electronics,Electronics Item 224,4,6985.15,27940.6,122.01,7383.41,20679.2,Credit Card,Express,Processing,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01065,10/9/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,0:35,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 610,2,2540.08,5080.16,78.37,1443.37,3715.16,GrabPay,Same Day,Returned,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01066,7/31/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,15:30,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 984,8,1212.4,9699.2,280.47,1478.86,8500.81,Credit Card,Same Day,Cancelled,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01067,9/16/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,8:52,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Electronics,Electronics Item 557,5,41955.06,209775.3,194.98,41531.78,168438.5,Bank Transfer,Economy,Shipped,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01068,10/9/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,17:24,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Northern Mindanao,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 144,6,1474.05,8844.3,109.7,1016.13,7937.87,Maya,Economy,Cancelled,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01069,12/5/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,20:09,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 202,1,1453.23,1453.23,133,43.76,1542.47,Bank Transfer,Economy,Delivered,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01070,7/28/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,20:09,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 972,8,1472.11,11776.88,205.81,1404.33,10578.36,Maya,Economy,Shipped,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01071,10/4/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,1:39,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Northern Mindanao,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 200,4,4620.46,18481.84,299.36,4140.48,14640.72,GrabPay,Standard,Cancelled,2,2,0,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
