Transaction_ID,Date,Department,Category,Type,Amount,Status
TRX-1050,8/10/2023,HR,travel,Expense,"-4,352.51",
TRX-1051,8/30/2023,Operations,Office Supplies,Expense,"-4,263.82",
TRX-1052,29-01-2023,HR,Consulting,Income,"4,132.27",
TRX-1053,4/12/2023,IT,Payroll,Expense,"-4,608.06",
TRX-1054,3/24/2023,IT,Travel,Income ,"1,563.86",
TRX-1055,4/14/2023,Operations,Travel,Expense,-358.07,
TRX-1056,3/31/2023,Sales,Software,Income ,"4,844.69",
TRX-1057,24-09-2023,Marketing,software,Expense,"-4,555.65",
TRX-1058,6/9/2023,Sales,Office Supplies,Expense,"-2,481.89",
TRX-1059,22-05-2023,HR,Payroll,Expense,,
TRX-1060,5/14/2023,Marketing,office supplies,Income ,"1,350.32",
TRX-1061,11/12/2023,IT,Office Supplies,Expense,"-1,577.14",
TRX-1062,3/21/2023,HR,Software,Income ,"3,328.92",
TRX-1063,30-06-2023,HR,Travel,Income ,380.89,
TRX-1064,11/11/2023,HR,travel,Expense,"-3,926.92",
TRX-1065,7/8/2023,HR,Consulting,Income ,673.70,
TRX-1066,13-08-2023,Operations,Consulting,Expense,"-3,204.26",
TRX-1067,5/2/2023,Operations,Travel,Expense,"-1,103.41",
TRX-1068,8/19/2023,HR,Travel,Expense,"-3,705.69",
TRX-1069,2/7/2023,Sales,Payroll,Income,769.85,
TRX-1070,5/2/2023,IT,Software,Income ,,
TRX-1071,4/26/2023,HR,Consulting,Expense,-551.78,
TRX-1072,17-06-2023,HR,Software,Income ,703.09,
TRX-1073,10/18/2023,Sales,Payroll,Income,"2,210.79",
TRX-1074,12/23/2023,HR,Payroll,Income ,"3,594.18",
TRX-1075,17-04-2023,Sales,Software,Income,"4,725.98",
TRX-1076,8/26/2023,Sales,Software,Income,"4,508.19",
TRX-1077,6/10/2023,HR,Payroll,Income,"4,795.84",
TRX-1078,9/2/2023,Sales,Payroll,Income,"2,390.40",
TRX-1079,18-03-2023,IT,Software,Income,"4,206.26",
TRX-1080,,Operations,Office Supplies,Income ,"2,045.93",
TRX-1081,,IT,Payroll,Expense,"-4,628.35",
TRX-1082,16-01-2023,Operations,Consulting,Expense,,
TRX-1083,17-05-2023,IT,consulting,Income,964.09,
TRX-1084,,Operations,Payroll,Income ,"2,985.65",
TRX-1085,9/23/2023,HR,Travel,Income,"3,135.62",
TRX-1086,8/3/2023,IT,Software,Income ,"4,997.42",
TRX-1087,,Sales,Consulting,Expense,"-1,987.87",
TRX-1088,10/12/2023,Marketing,Software,Expense,,
TRX-1089,10/6/2023,Operations,Travel,Expense,"-3,801.83",
TRX-1090,14-09-2023,Marketing,Software,Income ,"1,378.57",
TRX-1091,7/20/2023,IT,Travel,Income ,"2,370.82",
TRX-1092,30-11-2023,Marketing,Software,Income ,"4,750.36",
TRX-1093,1/31/2023,Sales,Office Supplies,Expense,"-3,248.26",
TRX-1094,2/22/2023,Marketing,Payroll,Expense,"-4,574.55",
TRX-1095,,Operations,Payroll,Expense,,
TRX-1096,6/11/2023,Marketing,Software,Expense,"-3,597.18",
TRX-1097,21-03-2023,HR,consulting,Expense,"-1,791.72",
TRX-1098,7/2/2023,HR,Consulting,Income,211.89,
TRX-1099,12/16/2023,Operations,Office Supplies,Expense,,
TRX-1100,12/11/2023,Sales,payroll,Income ,517.77,
TRX-1101,11/14/2023,IT,Office Supplies,Expense,"-2,874.47",
TRX-1102,28-03-2023,Operations,Travel,Income,"3,145.47",
TRX-1103,3/14/2023,Operations,Software,Income,"1,517.39",
TRX-1104,30-05-2023,HR,Consulting,Income,"4,374.79",
TRX-1105,,Operations,Payroll,Income,"4,382.86",
TRX-1106,6/4/2023,Marketing,Consulting,Income ,"1,643.74",
TRX-1107,9/2/2023,Marketing,Payroll,Expense,,
TRX-1108,5/4/2023,Marketing,Travel,Income,295.61,
TRX-1109,9/26/2023,Operations,Travel,Income,931.49,
TRX-1110,21-09-2023,Marketing,Payroll,Expense,"-3,869.76",
TRX-1111,7/5/2023,Sales,OFFICE SUPPLIES,Income ,"3,556.81",
TRX-1112,3/19/2023,Operations,Software,Income,"3,717.78",
TRX-1113,20-05-2023,HR,Office Supplies,Income,"3,266.10",
TRX-1114,19-01-2023,Operations,Travel,Income,"3,977.06",
TRX-1115,12/9/2023,Operations,Software,Expense,"-2,433.25",
TRX-1116,3/18/2023,Sales,Travel,Expense,"-2,458.61",
TRX-1117,8/13/2023,IT,Payroll,Income,"1,482.99",
TRX-1118,10/18/2023,IT,Consulting,Expense,"-2,737.29",
TRX-1119,,Operations,CONSULTING,Income,829.81,
TRX-1120,1/3/2023,Sales,Payroll,Income,"2,818.02",
TRX-1121,9/28/2023,Operations,Travel,Income,650.01,
TRX-1122,4/7/2023,HR,Office Supplies,Income,,
TRX-1123,10/7/2023,IT,Travel,Expense,-841.51,
TRX-1124,17-10-2023,HR,Consulting,Expense,"-2,327.14",
TRX-1125,27-08-2023,HR,payroll,Income ,"4,056.62",
TRX-1126,30-12-2023,IT,OFFICE SUPPLIES,Expense,,
TRX-1127,6/14/2023,HR,Travel,Expense,"-4,070.15",
TRX-1128,11/9/2023,Sales,Travel,Income,"3,362.98",
TRX-1129,,Sales,Consulting,Expense,"-2,775.51",
TRX-1130,,IT,payroll,Income ,"1,283.39",
TRX-1131,22-10-2023,Operations,Payroll,Income,"4,441.05",
TRX-1132,7/6/2023,Sales,travel,Expense,"-2,238.29",
TRX-1133,1/27/2023,Sales,Software,Income,"2,379.19",
TRX-1134,24-06-2023,IT,Office Supplies,Income,"4,992.77",
TRX-1135,29-01-2023,IT,OFFICE SUPPLIES,Expense,-969.98,
TRX-1136,27-01-2023,Sales,Office Supplies,Expense,"-3,996.94",
TRX-1137,9/20/2023,Marketing,Consulting,Expense,"-2,539.43",
TRX-1138,22-06-2023,IT,Travel,Income,"4,352.08",
TRX-1139,11/26/2023,Operations,Office Supplies,Income,517.62,
TRX-1140,10/18/2023,IT,travel,Expense,"-4,254.39",
TRX-1141,18-06-2023,Operations,Consulting,Expense,"-2,633.14",
TRX-1142,4/7/2023,HR,Payroll,Expense,"-4,430.69",
TRX-1143,10/3/2023,Marketing,Payroll,Income,"1,075.45",
TRX-1144,6/30/2023,Sales,payroll,Income,"4,345.66",
TRX-1145,12/1/2023,Operations,OFFICE SUPPLIES,Income ,"4,611.78",
TRX-1146,18-04-2023,IT,Consulting,Income,699.35,
TRX-1147,4/22/2023,Sales,Office Supplies,Expense,"-3,283.86",
TRX-1148,2/23/2023,Operations,SOFTWARE,Expense,"-4,008.25",
TRX-1149,3/15/2023,Marketing,Office Supplies,Income,927.76,
TRX-1150,16-12-2023,HR,Payroll,Income,"4,640.88",
TRX-1151,1/9/2023,Sales,Consulting,Income,196.54,
TRX-1152,8/11/2023,Operations,consulting,Expense,"-4,553.61",
TRX-1153,25-02-2023,Sales,Travel,Expense,"-4,732.11",
TRX-1154,11/26/2023,Marketing,Office Supplies,Income,"2,774.22",
TRX-1155,5/21/2023,HR,Consulting,Income,"2,883.74",
TRX-1156,1/18/2023,Sales,Office Supplies,Income ,"2,265.04",
TRX-1157,7/8/2023,Sales,Consulting,Expense,-581.65,
TRX-1158,9/4/2023,Operations,Software,Expense,"-1,592.67",
TRX-1159,3/1/2023,HR,Software,Income,943.39,
TRX-1160,,Marketing,Travel,Income ,615.43,
TRX-1161,5/1/2023,IT,Office Supplies,Expense,"-4,998.66",
TRX-1162,2/11/2023,Sales,TRAVEL,Expense,"-4,003.22",
TRX-1163,23-04-2023,IT,Office Supplies,Income,"1,166.49",
TRX-1164,3/1/2023,HR,Consulting,Expense,"-1,876.35",
TRX-1165,4/3/2023,Sales,Payroll,Expense,"-1,576.09",
TRX-1166,24-11-2023,HR,Payroll,Income,"4,960.21",
TRX-1167,10/2/2023,Marketing,Office Supplies,Expense,"-3,230.61",
TRX-1168,1/16/2023,Operations,Travel,Expense,"-2,461.94",
TRX-1169,4/21/2023,Operations,Payroll,Income,"1,760.61",
TRX-1170,,Operations,SOFTWARE,Expense,"-3,478.70",
TRX-1171,26-01-2023,Sales,PAYROLL,Expense,"-4,515.99",
TRX-1172,8/6/2023,Sales,Travel,Expense,"-1,542.84",
TRX-1173,10/4/2023,Marketing,Payroll,Expense,"-1,334.89",
TRX-1174,6/10/2023,HR,PAYROLL,Expense,"-1,927.08",
TRX-1175,11/2/2023,Sales,Consulting,Income ,"3,163.12",
TRX-1176,1/7/2023,IT,Consulting,Income,"2,771.33",
TRX-1177,3/9/2023,HR,Consulting,Expense,-503.64,
TRX-1178,6/4/2023,HR,software,Expense,"-1,927.33",
TRX-1179,16-02-2023,Marketing,Office Supplies,Expense,"-4,380.02",
TRX-1180,13-08-2023,Operations,Office Supplies,Income,"1,409.79",
TRX-1181,4/5/2023,IT,software,Expense,"-1,149.74",
TRX-1182,2/21/2023,Marketing,Travel,Income,"1,122.38",
TRX-1183,7/22/2023,IT,Office Supplies,Expense,-169.89,
TRX-1184,10/16/2023,Operations,Consulting,Income,"3,390.67",
TRX-1185,3/12/2023,IT,software,Income,"2,127.41",
TRX-1186,7/27/2023,Operations,Consulting,Expense,"-1,315.47",
TRX-1187,30-05-2023,HR,Office Supplies,Income ,"4,100.47",
TRX-1188,11/23/2023,Operations,Payroll,Income,"2,979.69",
TRX-1189,4/20/2023,HR,Travel,Income ,"3,892.58",
TRX-1190,3/2/2023,IT,Payroll,Expense,-467.48,
TRX-1191,13-06-2023,Sales,CONSULTING,Income,"2,114.12",
TRX-1192,11/29/2023,Marketing,Software,Income ,"2,195.54",
TRX-1193,12/17/2023,Marketing,Payroll,Income ,"3,026.11",
TRX-1194,6/24/2023,HR,office supplies,Expense,"-1,679.98",
TRX-1195,6/18/2023,IT,TRAVEL,Expense,"-3,939.64",
TRX-1196,20-12-2023,Sales,TRAVEL,Expense,"-2,113.01",
TRX-1197,6/21/2023,HR,Payroll,Expense,-170.60,
TRX-1198,6/29/2023,HR,Payroll,Expense,"-3,329.20",
TRX-1199,6/29/2023,Operations,Consulting,Income,"1,871.26",
TRX-1200,1/28/2023,Sales,Consulting,Income ,"1,583.87",
TRX-1201,8/24/2023,HR,Office Supplies,Income,790.28,
TRX-1202,22-03-2023,Operations,Consulting,Expense,,
TRX-1203,,Operations,Travel,Expense,"-2,742.65",
TRX-1204,3/19/2023,Sales,Consulting,Expense,"-1,408.51",
TRX-1205,18-05-2023,Operations,Software,Expense,"-3,569.44",
TRX-1206,9/8/2023,Marketing,software,Income,"2,495.11",
TRX-1207,2/8/2023,Marketing,Travel,Income,538.04,
TRX-1208,3/11/2023,Sales,Software,Expense,"-3,240.96",
TRX-1209,2/22/2023,IT,consulting,Income,,
TRX-1210,3/7/2023,HR,Payroll,Expense,"-2,729.38",
TRX-1211,9/3/2023,Sales,Software,Expense,"-4,943.14",
TRX-1212,9/26/2023,HR,Travel,Expense,"-3,579.17",
TRX-1213,12/18/2023,Sales,Consulting,Expense,-858.77,
TRX-1214,7/30/2023,HR,Travel,Expense,"-2,196.18",
TRX-1215,,IT,Consulting,Expense,-456.72,
TRX-1216,12/6/2023,Sales,Office Supplies,Expense,"-3,384.06",
TRX-1217,4/29/2023,Marketing,Office Supplies,Income,"4,661.14",
TRX-1218,,IT,office supplies,Expense,"-1,901.00",
TRX-1219,12/19/2023,IT,Payroll,Expense,"-3,496.81",
TRX-1220,28-01-2023,Marketing,PAYROLL,Expense,"-4,334.05",
TRX-1221,4/11/2023,IT,Consulting,Expense,-531.50,
TRX-1222,9/18/2023,Marketing,Travel,Income,"1,263.60",
TRX-1223,7/20/2023,Operations,Travel,Expense,-820.19,
TRX-1224,24-04-2023,Sales,office supplies,Income,"1,741.56",
TRX-1225,3/7/2023,Marketing,Software,Expense,"-4,270.58",
TRX-1226,8/7/2023,Marketing,Consulting,Income,"4,339.47",
TRX-1227,8/2/2023,HR,Software,Income ,"4,741.72",
TRX-1228,8/4/2023,Sales,Travel,Income ,"3,029.29",
TRX-1229,,HR,Office Supplies,Expense,-807.94,
TRX-1230,12/29/2023,IT,Software,Expense,"-3,233.84",
TRX-1231,,Marketing,consulting,Expense,-723.83,
TRX-1232,10/7/2023,Operations,TRAVEL,Expense,"-3,564.62",
TRX-1233,12/3/2023,HR,Payroll,Expense,-562.24,
TRX-1234,,HR,Software,Expense,"-3,970.31",
TRX-1235,8/1/2023,Marketing,Consulting,Income,"3,521.61",
TRX-1236,5/12/2023,Operations,Software,Income ,"4,821.42",
TRX-1237,9/6/2023,Marketing,Consulting,Income,"1,639.58",
TRX-1238,3/10/2023,Operations,SOFTWARE,Expense,"-4,156.00",
TRX-1239,,HR,Travel,Expense,-253.79,
TRX-1240,11/12/2023,IT,Travel,Expense,"-2,595.87",
TRX-1241,,HR,office supplies,Expense,"-2,314.10",
TRX-1242,5/8/2023,IT,Payroll,Income,"3,530.41",
TRX-1243,25-07-2023,HR,Travel,Income ,"4,018.37",
TRX-1244,3/19/2023,IT,consulting,Expense,"-3,681.73",
TRX-1245,1/16/2023,Marketing,Payroll,Income ,"1,608.49",
TRX-1246,5/17/2023,Marketing,Payroll,Expense,"-4,909.86",
TRX-1247,,Operations,Software,Income ,,
TRX-1248,3/16/2023,IT,payroll,Expense,"-1,664.82",
TRX-1249,8/2/2023,HR,Consulting,Expense,"-1,773.02",
TRX-1250,10/11/2023,IT,Office Supplies,Expense,"-2,619.55",
TRX-1251,9/28/2023,Operations,Office Supplies,Income,"3,022.61",
TRX-1252,4/9/2023,Marketing,Consulting,Expense,"-4,260.13",
TRX-1253,1/7/2023,HR,Payroll,Expense,,
TRX-1254,1/1/2024,IT,Office Supplies,Expense,"-2,462.96",
TRX-1255,4/1/2023,Operations,software,Expense,"-3,985.60",
TRX-1256,7/8/2023,HR,Payroll,Expense,"-1,191.88",
TRX-1257,11/3/2023,Sales,TRAVEL,Income,"3,244.34",
TRX-1258,4/26/2023,Marketing,consulting,Expense,"-2,507.82",
TRX-1259,5/24/2023,Sales,Consulting,Income ,"3,119.22",
TRX-1260,7/29/2023,Marketing,Software,Expense,"-3,764.99",
TRX-1261,12/29/2023,Marketing,Payroll,Income,"1,576.07",
TRX-1262,4/5/2023,Marketing,Office Supplies,Income,"4,234.50",
TRX-1263,3/19/2023,IT,Office Supplies,Income,"2,652.73",
TRX-1264,30-06-2023,Marketing,Software,Expense,"-4,388.81",
TRX-1265,8/8/2023,Marketing,Software,Expense,"-4,329.75",
TRX-1266,11/21/2023,Operations,Software,Expense,"-4,178.36",
TRX-1267,21-01-2023,Operations,Consulting,Expense,"-1,961.92",
TRX-1268,9/2/2023,IT,Consulting,Income ,"1,226.52",
TRX-1269,17-06-2023,IT,Payroll,Income,229.01,
TRX-1270,1/7/2023,Sales,Consulting,Income,"4,020.97",
TRX-1271,5/4/2023,IT,Software,Income,"1,877.34",
TRX-1272,10/18/2023,Sales,SOFTWARE,Income ,"3,432.67",
TRX-1273,10/19/2023,Marketing,Consulting,Expense,"-3,898.38",
TRX-1274,2/2/2023,IT,Consulting,Income,"3,633.73",
TRX-1275,8/10/2023,Operations,Travel,Expense,"-3,131.57",
TRX-1276,25-06-2023,Operations,travel,Income ,"4,140.54",
TRX-1277,4/4/2023,Marketing,Software,Income,,
TRX-1278,6/5/2023,Sales,payroll,Expense,"-1,646.64",
TRX-1279,1/23/2023,Operations,Software,Expense,"-2,958.48",
TRX-1280,10/1/2023,IT,Payroll,Expense,"-4,696.58",
TRX-1281,17-10-2023,HR,Travel,Income,"2,130.54",
TRX-1282,20-02-2023,Sales,payroll,Income,"2,632.61",
TRX-1283,9/11/2023,Operations,consulting,Income ,"1,288.23",
TRX-1284,,Marketing,Software,Income ,"1,645.54",
TRX-1285,8/8/2023,HR,Office Supplies,Income,"4,025.82",
TRX-1286,5/16/2023,HR,Consulting,Expense,"-1,097.25",
TRX-1287,14-09-2023,Marketing,Software,Expense,"-4,213.09",
TRX-1288,6/26/2023,IT,Travel,Income,"3,860.88",
TRX-1289,30-11-2023,Operations,travel,Expense,"-2,327.52",
TRX-1290,2/27/2023,Operations,Consulting,Expense,"-2,641.92",
TRX-1291,25-09-2023,IT,Office Supplies,Expense,"-3,683.82",
TRX-1292,7/26/2023,Operations,PAYROLL,Income,"2,005.75",
TRX-1293,1/7/2023,Operations,Travel,Income ,"4,359.37",
TRX-1294,9/28/2023,HR,Office Supplies,Expense,"-3,731.32",
TRX-1295,5/28/2023,Sales,Software,Expense,,
TRX-1296,21-04-2023,Sales,Software,Income ,207.38,
TRX-1297,6/21/2023,Sales,consulting,Expense,,
TRX-1298,8/22/2023,Operations,software,Income,"1,597.39",
TRX-1299,15-12-2023,Sales,Office Supplies,Expense,"-1,835.03",
TRX-1300,30-01-2023,Marketing,travel,Expense,"-2,728.64",
TRX-1301,,Marketing,Consulting,Income,"4,763.18",
TRX-1302,30-08-2023,Sales,Consulting,Expense,"-1,312.87",
TRX-1303,10/29/2023,Operations,Software,Expense,,
TRX-1304,27-12-2023,Marketing,Software,Income,"1,277.74",
TRX-1305,11/26/2023,Operations,Software,Expense,,
TRX-1306,11/4/2023,Marketing,Software,Income,,
TRX-1307,,HR,Travel,Expense,"-4,939.80",
TRX-1308,9/5/2023,Sales,Office Supplies,Expense,,
TRX-1309,6/6/2023,Sales,TRAVEL,Expense,,
TRX-1310,10/26/2023,Operations,Payroll,Income,"4,159.40",
TRX-1311,9/24/2023,Marketing,Travel,Income ,151.23,
TRX-1312,9/15/2023,IT,Office Supplies,Income,"3,096.10",
TRX-1313,6/11/2023,IT,Office Supplies,Income,"2,396.25",
TRX-1314,10/24/2023,IT,travel,Expense,-257.84,
TRX-1315,5/24/2023,Operations,Consulting,Expense,"-4,514.75",
TRX-1316,8/5/2023,IT,software,Expense,"-2,091.33",
TRX-1317,5/25/2023,Operations,PAYROLL,Expense,-417.60,
TRX-1318,4/18/2023,Operations,CONSULTING,Expense,"-2,499.86",
TRX-1319,2/2/2023,Operations,Travel,Expense,"-4,436.57",
TRX-1320,2/8/2023,IT,Software,Expense,"-1,188.24",
TRX-1321,1/9/2023,Marketing,Software,Income,"1,973.68",
TRX-1322,11/2/2023,Marketing,Office Supplies,Expense,"-1,169.80",
TRX-1323,27-11-2023,Marketing,travel,Expense,"-2,384.14",
TRX-1324,11/28/2023,Operations,Software,Expense,"-1,026.05",
TRX-1325,19-07-2023,HR,Payroll,Expense,"-1,426.69",
TRX-1326,12/13/2023,Operations,Consulting,Income ,"3,146.55",
TRX-1327,6/24/2023,Sales,Software,Expense,"-4,094.20",
TRX-1328,,HR,Travel,Expense,"-4,308.26",
TRX-1329,10/5/2023,Operations,PAYROLL,Income,"2,836.08",
TRX-1330,,Sales,travel,Expense,"-1,951.69",
TRX-1331,7/18/2023,IT,payroll,Income,"4,014.47",
TRX-1332,9/7/2023,Sales,CONSULTING,Expense,"-3,590.65",
TRX-1333,10/13/2023,HR,Travel,Expense,"-1,655.90",
TRX-1334,2/16/2023,Sales,Payroll,Income,"1,083.42",
TRX-1335,26-07-2023,Operations,Travel,Income ,520.25,
TRX-1336,10/18/2023,Sales,Payroll,Income,242.45,
TRX-1337,28-09-2023,Marketing,payroll,Income,"1,216.18",
TRX-1338,9/16/2023,Marketing,Travel,Expense,"-2,134.78",
TRX-1339,,Operations,Consulting,Expense,"-3,571.49",
TRX-1340,4/7/2023,Operations,Travel,Expense,"-1,611.16",
TRX-1341,5/14/2023,HR,software,Income ,"1,283.30",
TRX-1342,30-08-2023,IT,Payroll,Expense,"-3,442.12",
TRX-1343,12/20/2023,HR,Consulting,Income,275.09,
TRX-1344,6/12/2023,Marketing,Consulting,Income,"1,326.99",
TRX-1345,1/12/2023,Operations,Payroll,Income ,"2,690.04",
TRX-1346,2/12/2023,HR,software,Expense,"-2,439.06",
TRX-1347,3/21/2023,Operations,Travel,Income,"3,426.63",
TRX-1348,19-08-2023,Operations,Office Supplies,Income,"2,599.24",
TRX-1349,12/7/2023,IT,office supplies,Income,"2,952.56",
TRX-1350,5/12/2023,Marketing,OFFICE SUPPLIES,Expense,-83.72,
TRX-1351,1/30/2023,IT,OFFICE SUPPLIES,Expense,"-1,598.56",
TRX-1352,4/8/2023,IT,Travel,Income,,
TRX-1353,11/2/2023,HR,PAYROLL,Expense,"-2,864.91",
TRX-1354,31-08-2023,IT,Consulting,Expense,,
TRX-1355,9/6/2023,HR,Consulting,Expense,"-4,607.54",
TRX-1356,2/27/2023,IT,consulting,Expense,,
TRX-1357,6/22/2023,IT,Travel,Expense,"-3,285.67",
TRX-1358,3/18/2023,HR,Consulting,Income,"2,294.37",
TRX-1359,14-06-2023,Operations,Software,Expense,-779.24,
TRX-1360,7/11/2023,Operations,Travel,Expense,"-2,756.34",
TRX-1361,11/9/2023,HR,office supplies,Expense,"-1,072.81",
TRX-1362,8/3/2023,Operations,Office Supplies,Expense,"-1,390.74",
TRX-1363,10/29/2023,Sales,Software,Expense,"-2,438.74",
TRX-1364,16-09-2023,IT,Travel,Expense,"-1,059.86",
TRX-1365,8/24/2023,Marketing,consulting,Income ,"2,242.43",
TRX-1366,10/10/2023,Sales,Payroll,Income,,
TRX-1367,1/26/2023,HR,Office Supplies,Expense,"-3,952.22",
TRX-1368,6/8/2023,Marketing,Software,Income,"3,211.64",
TRX-1369,7/1/2023,Sales,Travel,Income,"2,125.99",
TRX-1370,8/10/2023,Operations,Consulting,Expense,"-3,286.24",
TRX-1371,4/2/2023,Marketing,Payroll,Income,"2,014.59",
TRX-1372,3/2/2023,Operations,software,Expense,"-4,640.85",
TRX-1373,6/2/2023,HR,Office Supplies,Expense,"-2,195.02",
TRX-1374,9/14/2023,HR,Consulting,Income ,"2,632.79",
TRX-1375,11/5/2023,Marketing,payroll,Expense,"-3,256.77",
TRX-1376,12/23/2023,Operations,office supplies,Income,"2,486.29",
TRX-1377,11/2/2023,Marketing,Consulting,Income ,70.77,
TRX-1378,9/22/2023,HR,consulting,Expense,"-4,868.87",
TRX-1379,8/16/2023,HR,Consulting,Income,"4,932.99",
TRX-1380,7/1/2023,Marketing,Payroll,Income,548.30,
TRX-1381,9/14/2023,Marketing,Consulting,Income ,"2,592.48",
TRX-1382,3/6/2023,Sales,Payroll,Income,,
TRX-1383,6/12/2023,IT,travel,Expense,"-3,308.38",
TRX-1384,2/22/2023,Sales,Consulting,Income ,596.45,
TRX-1385,3/9/2023,Marketing,Travel,Expense,,
TRX-1386,,Operations,Office Supplies,Expense,"-4,635.40",
TRX-1387,7/25/2023,IT,Software,Income,"1,983.79",
TRX-1388,2/1/2023,IT,consulting,Income ,"3,097.16",
TRX-1389,3/30/2023,Operations,Software,Expense,"-1,326.81",
TRX-1390,7/18/2023,Operations,Travel,Income,"4,767.22",
TRX-1391,8/28/2023,Marketing,Office Supplies,Income,"3,227.21",
TRX-1392,30-09-2023,Operations,Software,Expense,-205.82,
TRX-1393,7/7/2023,Marketing,Payroll,Income ,"3,136.20",
TRX-1394,3/21/2023,Sales,Payroll,Income,"2,381.38",
TRX-1395,12/11/2023,Operations,Travel,Expense,"-4,369.19",
TRX-1396,,IT,Payroll,Income,"2,989.23",
TRX-1397,3/5/2023,Operations,Travel,Expense,"-1,119.75",
TRX-1398,3/28/2023,Marketing,Software,Income,"1,739.29",
TRX-1399,6/3/2023,Operations,Office Supplies,Expense,-575.15,
TRX-1400,2/10/2023,IT,Consulting,Income ,67.83,
TRX-1401,7/24/2023,HR,Software,Expense,"-1,967.12",
TRX-1402,4/3/2023,HR,Payroll,Expense,"-2,249.03",
TRX-1403,9/4/2023,Operations,Consulting,Expense,"-1,305.72",
TRX-1404,1/4/2023,HR,Office Supplies,Expense,"-4,432.10",
TRX-1405,1/19/2023,Operations,Consulting,Income,"4,524.71",
TRX-1406,8/31/2023,Sales,Consulting,Income,217.33,
TRX-1407,19-04-2023,Sales,Office Supplies,Expense,"-3,770.05",
TRX-1408,3/9/2023,IT,Payroll,Income,"3,929.48",
TRX-1409,8/7/2023,Marketing,Travel,Expense,-634.87,
TRX-1410,9/20/2023,Sales,Consulting,Income,"3,275.01",
TRX-1411,10/14/2023,Sales,travel,Income,"4,612.22",
TRX-1412,1/6/2023,HR,Consulting,Income,"2,233.40",
TRX-1413,8/18/2023,Marketing,travel,Expense,"-3,765.24",
TRX-1414,17-03-2023,HR,Consulting,Income,"4,226.62",
TRX-1415,1/21/2023,HR,office supplies,Expense,"-2,481.33",
