platform,post_type,post_length,views,likes,comments,shares,engagement_rate
3,3,97,97675,3846,236,488,0.046787817
1,1,62,231582,14682,890,831,0.070830203
2,3,40,173278,16046,1567,390,0.103896629
3,3,6,152957,1667,187,135,0.013003655
2,3,109,115443,5238,431,167,0.050553087
2,2,22,16218,1402,75,72,0.09551116
2,2,53,188761,8860,734,914,0.055668279
2,2,12,102148,7641,881,644,0.089732545
1,1,62,9716,702,43,48,0.08161795
2,1,19,261448,7448,1172,1049,0.036982497
2,3,109,283232,14292,1898,644,0.059435375
2,2,21,36001,2194,252,182,0.072997972
1,1,27,239194,17794,2274,1682,0.090930375
2,2,70,271430,22804,3383,1410,0.101672623
2,1,74,140811,11038,2198,1232,0.102747655
1,1,97,33158,416,69,55,0.016285663
1,3,31,103393,7274,953,657,0.085924579
1,3,41,8605,471,77,57,0.07030796
2,1,53,61492,3790,459,105,0.070805958
1,3,68,239198,10421,1007,416,0.049515464
1,1,38,6321,469,41,37,0.08653694
2,1,22,180613,12760,1402,1782,0.088277145
1,2,68,185773,11546,581,1028,0.070812228
2,3,110,235592,20624,1578,1571,0.100907501
3,3,78,14170,271,18,26,0.022230064
1,3,106,59045,2190,424,79,0.045609281
3,2,48,142005,7748,462,813,0.063540016
2,2,21,224300,21594,2702,695,0.111417744
1,2,63,231082,3807,715,361,0.021131027
2,3,17,257985,10406,1468,1174,0.050576584
3,3,56,112540,10503,1305,771,0.111773592
2,3,64,159886,14520,2344,2009,0.118040354
1,2,116,104101,9147,942,363,0.100402494
1,2,46,3818,144,11,6,0.042168675
3,1,95,10434,899,159,78,0.108874832
2,2,68,192225,10664,623,1504,0.066541813
1,1,70,33571,2208,377,156,0.081647851
3,3,38,42694,1344,88,188,0.037944442
1,2,99,97426,7170,1031,789,0.092275163
1,3,91,121792,4809,584,585,0.049083684
2,3,75,50485,2067,412,293,0.054907398
1,3,106,146141,9837,1064,928,0.080942378
2,3,68,62198,1964,380,203,0.04094987
1,2,37,101316,3059,338,291,0.036400963
3,3,16,171734,7423,1130,905,0.055073544
1,1,113,91970,7359,1078,408,0.096172665
2,2,80,77928,2355,148,288,0.035815111
2,3,23,57290,4632,748,522,0.103019724
3,2,13,124664,9051,735,889,0.085630174
1,1,78,146004,10383,1124,260,0.080593682
1,3,21,14766,778,130,93,0.067790871
3,1,54,90247,6960,1333,259,0.094762153
1,3,108,16292,182,24,26,0.014240118
1,1,43,220295,8262,1056,252,0.043441749
2,3,45,183703,13065,1642,1484,0.08813683
1,2,14,225507,22292,3845,1490,0.122510609
1,3,16,249762,2554,508,295,0.013440796
3,2,83,74944,4189,607,366,0.068878096
3,3,99,108446,10101,1078,1028,0.112562935
2,3,19,39533,3467,287,103,0.09756406
1,1,32,83773,1012,80,147,0.014789968
1,1,8,127433,7347,1310,150,0.069110827
1,1,40,139850,1452,288,206,0.013914909
2,3,69,40059,3247,502,304,0.101175766
2,3,112,140938,5327,1030,285,0.047127106
3,3,102,75965,5993,614,616,0.095083262
2,2,51,65661,6239,899,670,0.118913815
1,2,85,46352,4535,574,521,0.121461857
1,3,43,113051,10227,1250,226,0.10351965
2,1,42,186808,5300,767,783,0.036668665
1,1,48,37075,1020,98,102,0.032906271
1,1,55,234461,15549,2271,1074,0.080584831
2,3,101,96931,5715,862,538,0.07340273
2,1,89,218023,2367,415,102,0.013227962
1,3,30,231594,10480,1672,546,0.054828709
1,2,114,27104,2482,243,77,0.103379575
1,1,40,68827,6253,735,839,0.113719906
3,2,73,71222,2019,137,106,0.031759849
3,1,101,134714,5978,529,694,0.053453984
3,3,5,99013,5983,766,332,0.071515862
2,3,57,225758,19584,1275,763,0.095775122
3,3,10,10769,623,84,21,0.067601449
2,3,41,100369,9749,1058,1285,0.120475446
2,1,6,55375,4536,250,161,0.089336343
3,2,73,165150,15817,1821,495,0.109797154
3,3,94,14268,1082,99,22,0.08431455
3,1,45,143916,12806,768,866,0.100336307
1,2,55,77174,6543,615,932,0.104828051
3,3,51,193835,6366,599,879,0.040467408
1,2,17,105677,3239,334,113,0.03487987
2,3,80,147305,12932,1357,279,0.098896847
1,2,73,33496,590,67,69,0.02167423
3,2,70,150878,7056,450,422,0.052545765
2,3,63,176398,14792,751,1900,0.098884341
2,1,72,83807,6972,1118,334,0.100516663
2,2,63,175585,3948,397,331,0.026630976
1,3,95,185833,10015,1422,243,0.062852131
3,2,118,21465,1141,109,155,0.065455392
2,2,14,144322,5648,1116,243,0.048551156
2,1,17,65503,6062,589,353,0.1069264
2,2,112,243026,16715,2352,1376,0.084118572
1,2,6,248863,24442,2028,1350,0.111788414
1,3,94,24310,389,49,9,0.018387495
3,3,19,132301,6018,823,143,0.052788717
1,1,50,249501,21248,1645,3063,0.104031647
2,2,61,37206,1787,122,111,0.054292318
3,2,14,11764,394,77,25,0.04216253
2,2,26,191668,19128,3519,2677,0.132124298
2,1,108,245269,21726,3237,2796,0.113177776
1,2,93,146914,8694,1557,950,0.076241883
3,3,83,136048,8238,529,869,0.070827943
1,1,81,141498,1502,239,186,0.013618567
1,3,12,156959,15427,1432,647,0.111532311
3,3,25,28710,2370,310,252,0.102124695
2,1,89,142558,1896,312,62,0.015923343
2,3,26,175330,4535,249,165,0.028226772
3,2,114,114418,9598,1480,494,0.101137933
2,1,101,252704,4502,518,505,0.021863524
3,3,49,24623,2333,270,317,0.118588312
3,2,95,25806,2580,480,283,0.129543517
1,2,44,140045,12573,2250,932,0.112499554
3,3,118,179287,13715,804,1190,0.087619292
1,2,26,117162,6309,900,710,0.067590174
2,1,34,165229,2878,332,287,0.021164566
2,3,66,10521,796,53,70,0.087349111
2,2,77,280035,12802,2274,650,0.056157266
2,2,49,87331,5355,325,536,0.071177474
1,3,39,25474,927,50,20,0.039137945
2,3,86,162579,5169,411,479,0.037268036
3,3,46,12687,497,47,62,0.047765429
3,3,9,100550,8370,494,362,0.091755346
3,1,31,144081,6971,1019,242,0.057134528
1,3,74,91762,3491,403,510,0.047993723
2,1,66,93484,4577,511,593,0.060769757
2,1,36,53296,687,49,40,0.014560192
2,3,12,45225,4077,471,192,0.104809287
1,1,107,221710,13226,1435,838,0.069906635
3,3,89,36828,715,76,54,0.022944499
3,3,22,169174,6082,503,770,0.043475948
2,2,82,247463,24379,1564,1245,0.10986693
3,3,19,189414,12004,1069,1364,0.076219287
3,2,110,35712,1293,194,182,0.046734991
1,1,30,29823,1442,87,99,0.05458874
1,2,57,139433,4637,497,108,0.037595117
1,1,48,94374,1213,154,154,0.016116727
1,3,36,83174,7134,1387,799,0.112054248
2,1,107,290409,10548,1862,415,0.044161854
1,1,32,93287,7972,1494,778,0.109811657
3,3,43,44012,2335,403,297,0.068958466
2,1,111,278060,7357,1017,320,0.031266633
3,3,36,127462,10473,1875,512,0.100892815
3,2,81,77045,3385,456,156,0.051878772
3,3,83,178604,13162,1364,1970,0.092360753
1,3,22,230710,19691,2084,981,0.09863465
1,1,107,181731,17567,2368,960,0.114977632
2,2,74,94860,1681,288,44,0.021220746
2,3,15,229551,2468,172,364,0.013086417
1,2,36,45634,2708,151,141,0.065740457
3,2,108,97479,3293,554,376,0.043322151
2,1,24,79992,4177,614,97,0.061106111
1,3,101,14369,237,41,28,0.021295845
1,1,44,22329,1231,241,144,0.072372251
1,3,12,212826,4519,396,139,0.023747099
3,2,119,88700,7581,599,272,0.095287486
1,3,39,105960,8302,839,484,0.090836165
1,3,73,15410,256,46,16,0.020635951
1,2,103,163802,13967,727,1701,0.100090353
1,2,115,136737,5366,276,150,0.042358689
2,3,82,173775,7256,598,758,0.049558337
2,1,25,235083,6155,654,305,0.030261652
1,3,115,158244,13478,1285,939,0.099226511
3,2,28,4684,217,37,4,0.055081127
2,1,21,287031,4131,633,238,0.017426689
1,2,22,154898,15019,2638,634,0.118084159
2,2,102,198360,6551,704,560,0.039398064
2,1,16,205579,19377,2700,786,0.111212721
3,2,20,129510,4806,611,618,0.046598718
1,2,8,104261,8844,1071,1191,0.106521134
1,2,93,59068,4121,384,535,0.085325388
3,2,38,20113,1760,275,259,0.114055586
3,2,96,44861,4389,564,609,0.12398297
1,2,50,81487,7206,445,406,0.098874667
1,2,79,28617,1325,66,80,0.051403012
3,2,81,100330,8358,443,745,0.095146018
2,2,35,227236,16826,1032,1178,0.083771938
2,3,29,293394,4560,481,666,0.019451659
3,3,107,5055,473,45,30,0.108407517
2,2,78,132615,6887,506,800,0.061780342
3,3,28,104255,2304,293,218,0.027001103
2,1,69,241675,11669,2281,1684,0.064690183
2,3,29,94376,6066,449,708,0.076534288
1,2,32,12933,796,69,47,0.070517281
1,2,40,34979,2159,257,98,0.071871694
2,3,86,50047,1652,241,216,0.042140388
2,2,10,9137,611,85,84,0.085367188
1,1,70,14423,1322,169,169,0.115093947
1,1,71,92851,4176,670,483,0.057393028
1,2,114,37482,2502,442,154,0.082653007
3,1,76,177228,5663,1131,485,0.041071388
2,1,99,237723,3410,408,474,0.018054627
1,3,52,37754,2367,471,88,0.077501722
2,1,87,28363,405,64,34,0.017734372
3,3,118,19085,1433,212,94,0.09111868
3,2,74,58889,4141,604,447,0.088165871
1,3,82,242022,10464,1952,1071,0.055726339
3,2,71,104090,4893,940,454,0.060399654
2,2,52,84951,7866,603,443,0.104907535
1,2,69,131227,1467,181,59,0.013007994
2,2,48,122159,7414,1417,904,0.079691222
2,2,98,183124,17049,1829,2539,0.11695354
3,3,67,88934,8204,696,344,0.103942249
3,2,50,34691,2172,142,64,0.068548038
3,1,23,56697,2512,350,293,0.055646683
3,1,68,136116,2572,398,166,0.023039172
3,2,87,5883,150,11,7,0.028556859
1,1,77,34712,2470,373,218,0.088182761
2,3,75,220932,2540,469,273,0.01485525
2,3,114,118655,10621,919,509,0.1015465
2,2,105,288689,18162,1240,2711,0.076598
2,2,54,285348,4012,703,251,0.017403311
3,2,67,25268,797,149,48,0.039338293
2,1,45,253562,16095,1323,1206,0.073449492
1,1,11,227979,3010,476,351,0.016830498
1,3,13,87383,7008,971,935,0.102010689
2,1,8,257982,23938,2055,1486,0.106515183
2,3,93,242903,23442,4068,830,0.116672087
1,1,53,209724,15945,1922,849,0.089241098
1,3,80,229733,20013,3103,619,0.103315588
3,2,10,121755,7909,753,806,0.07776272
1,1,86,99940,5123,883,595,0.06604963
3,3,108,30436,2257,202,171,0.086410829
3,1,25,137197,4140,433,595,0.037668462
3,2,19,174606,3471,377,397,0.024311879
3,3,71,100524,7897,639,547,0.090356532
3,1,70,88842,8549,1548,284,0.116847887
2,1,60,81369,5042,337,424,0.071317086
1,2,109,90533,4837,650,413,0.065169607
3,2,108,35521,2063,355,188,0.073365052
1,3,72,229556,12180,1670,1324,0.066101518
1,1,36,246251,12262,1214,666,0.057429208
3,1,70,140560,13385,2238,272,0.113083381
2,2,114,47448,2523,315,317,0.066493846
3,2,33,9938,171,12,21,0.020527269
2,3,70,187185,14768,1440,2045,0.097513155
1,1,38,107262,4852,673,708,0.058110048
2,1,31,188707,13957,2077,567,0.087972359
2,3,64,208243,12944,1711,854,0.074475493
2,3,43,210237,15596,1416,2038,0.090612024
1,2,48,191894,2989,415,422,0.019938091
1,2,106,52934,690,68,15,0.014603091
2,3,86,288631,12719,1065,895,0.050857323
2,3,40,189391,13709,2629,476,0.088779298
3,1,23,14869,448,43,54,0.03665344
2,3,95,250979,12299,1234,1440,0.059658378
3,3,49,173869,17086,3152,2017,0.127998666
2,1,88,192370,5643,402,399,0.033497947
3,3,25,116576,10062,1385,732,0.104472619
1,2,27,85209,7182,1203,388,0.102958608
2,2,98,87299,7876,717,527,0.104468551
2,1,93,49933,4611,814,681,0.12228386
2,3,99,81579,4540,751,118,0.066303828
2,2,31,145642,10395,1277,645,0.084570385
3,2,102,139958,9195,623,1128,0.078209177
2,2,76,95177,3598,703,250,0.047816174
1,2,23,70719,2487,357,356,0.045249509
1,3,45,97606,3976,507,251,0.048501117
2,3,30,34018,1009,184,131,0.038920571
1,3,32,88839,6944,786,874,0.096849357
2,3,68,158658,15359,2066,325,0.111875859
2,2,72,7566,666,119,48,0.110097806
1,1,99,242471,7180,782,405,0.034507219
2,1,84,81489,1195,198,98,0.018296948
1,2,55,68355,5341,472,428,0.091302758
3,2,78,164768,7434,1154,1023,0.058330501
2,1,106,77940,6563,830,287,0.098537336
3,1,52,128731,10315,770,450,0.089605456
1,2,14,101382,6720,473,228,0.073198398
3,2,113,173807,5732,680,665,0.040717578
3,3,77,125865,2437,381,339,0.02508243
1,3,43,184709,6047,849,410,0.039554109
3,1,104,24129,1348,240,37,0.067346347
3,2,119,32845,3223,349,129,0.112680773
1,1,104,82449,1297,228,43,0.019017817
3,3,23,199572,5589,310,542,0.032274067
1,3,68,13739,913,95,51,0.077079846
3,1,23,191244,7151,435,977,0.044775261
1,3,80,136745,11933,2242,490,0.107243409
1,2,66,237669,5358,649,755,0.028451334
3,1,17,33171,3207,312,202,0.112176299
3,2,29,91179,8398,1040,1114,0.115728402
3,2,104,102022,9169,1191,1314,0.1144263
2,3,93,146696,3751,663,556,0.033879588
2,2,96,113906,4516,593,562,0.049786666
2,1,46,57930,4771,547,158,0.094527878
1,2,43,168680,13950,2709,379,0.101007825
3,2,34,51649,3794,740,440,0.096303897
1,2,9,216528,10896,607,1488,0.05999686
2,2,85,68503,2606,406,108,0.045545451
3,2,22,175196,16935,1791,2410,0.120642024
1,3,111,119659,2696,407,267,0.028163364
3,1,115,98875,1378,200,49,0.01645512
1,3,25,141659,1532,152,63,0.012332432
3,1,90,136599,10894,2156,311,0.097811843
2,1,107,169139,2554,264,98,0.017240258
2,1,54,56538,3306,478,380,0.073649581
3,1,10,39455,1698,292,82,0.052515524
1,1,54,236547,5493,394,510,0.027043251
2,2,84,25243,1934,183,219,0.092540506
2,3,70,128793,1925,153,262,0.018168689
2,3,119,74231,2869,479,277,0.048834045
3,2,5,76648,4644,790,436,0.076583864
3,1,61,34059,1574,139,218,0.056695734
1,3,34,192939,6429,325,375,0.036949502
1,2,62,75778,7073,802,328,0.108250416
1,2,111,78477,7360,1126,982,0.120646814
3,3,56,57283,2717,389,80,0.055618595
3,3,41,65853,2992,349,133,0.052753861
1,1,52,23001,866,82,63,0.043954611
1,1,91,5700,496,60,33,0.103333333
3,3,5,183229,11197,585,1251,0.07112957
1,1,23,152157,2747,167,87,0.019723049
2,2,50,194219,16857,1254,1382,0.100366082
3,1,71,15339,891,128,111,0.073668427
1,1,6,149906,7106,588,773,0.056482062
3,2,60,128378,5187,588,529,0.049104987
2,1,105,296687,5621,804,287,0.022623169
3,2,21,37930,3645,636,259,0.119694173
3,1,96,174146,13359,1769,581,0.090205919
3,3,86,193745,4235,324,364,0.025409688
3,1,101,31044,1738,335,166,0.072123438
2,3,83,198833,11930,757,1217,0.06992803
3,3,26,114997,2887,303,386,0.031096463
3,3,109,85725,4153,781,116,0.058909303
1,3,31,222405,15149,2126,1067,0.082471167
3,3,59,28012,996,148,96,0.044266743
1,2,105,197768,7880,750,741,0.047383803
2,2,36,102585,2152,132,49,0.022742116
2,2,64,26694,1259,132,56,0.054206938
2,3,113,180460,11287,1245,1466,0.077568436
2,1,87,218440,4475,405,389,0.02412104
1,2,32,35835,2341,192,172,0.075484861
3,1,32,120777,5531,571,757,0.056790614
2,1,78,203470,14453,2108,429,0.083501253
3,3,88,20186,773,148,108,0.050975924
1,3,29,163617,10007,1556,236,0.072113533
1,3,89,245130,15970,2666,1487,0.082091135
1,2,82,47391,3419,327,315,0.085691376
2,3,90,110858,8660,568,892,0.091287954
3,2,30,106199,2365,221,56,0.024877824
3,2,112,178860,17326,1912,1541,0.116174662
3,2,79,30401,2612,400,90,0.102036117
1,2,75,100764,6107,1165,245,0.074600056
2,3,21,63611,5733,982,275,0.109886655
1,2,86,15202,675,60,67,0.052756216
1,3,11,197440,2583,446,182,0.016263169
3,3,60,35135,2650,296,82,0.08618187
1,2,68,91121,8647,659,497,0.107582226
3,3,24,115944,2848,339,85,0.02822052
2,1,42,261556,17772,2390,1889,0.084306994
3,3,79,115765,9632,1584,890,0.104573921
2,3,112,68535,6267,642,457,0.107477931
3,2,62,147969,5162,371,725,0.042292642
1,2,20,120328,2597,166,227,0.024848747
1,3,55,155363,5019,335,679,0.038831639
2,2,31,190165,11789,2269,1123,0.079830673
2,1,55,118056,10942,2109,754,0.11693603
2,1,79,282619,17643,3445,1589,0.080238767
3,2,20,177977,16510,1574,656,0.105294504
3,3,91,81870,6492,511,699,0.094075974
2,1,64,89366,5706,1124,842,0.085849204
1,1,80,126836,1517,300,79,0.014948437
3,3,44,94814,3790,234,235,0.044919527
3,2,71,86285,1309,213,95,0.018740221
3,1,6,42185,1645,153,136,0.04584568
2,3,106,69398,1083,201,122,0.02025995
2,3,52,256326,6434,407,242,0.02763278
2,1,56,101682,4775,875,283,0.058348577
2,2,28,81593,4596,231,413,0.064221195
2,1,97,162499,4800,615,463,0.03617253
1,3,115,110518,8391,841,753,0.090347274
1,1,114,58535,3695,421,283,0.075151619
2,2,102,114626,8282,952,931,0.088679706
3,3,88,116190,8824,1306,411,0.090722093
2,2,86,199762,15066,805,855,0.083729638
1,1,82,17060,1608,247,125,0.116060961
1,1,86,184713,5790,308,639,0.036472798
3,2,6,146679,5033,391,154,0.03802862
1,1,69,234710,4336,611,151,0.021720421
2,2,24,68560,4342,273,528,0.075014586
3,1,38,197285,8989,1785,484,0.057064653
2,2,45,94610,5171,866,751,0.071747173
2,2,45,197848,5002,779,725,0.03288383
3,3,116,181936,12447,1122,1358,0.082045335
2,3,79,221381,14547,833,1646,0.076908136
1,2,95,35970,1216,239,127,0.043981095
2,1,27,164282,8524,615,366,0.05785783
3,1,42,46088,4170,728,354,0.11395591
3,1,48,193107,15374,1224,1892,0.095750025
3,2,71,13683,416,44,50,0.037272528
2,2,66,198320,17669,2721,2417,0.115001008
3,2,16,168624,2707,519,371,0.021331483
3,2,34,113789,5376,284,290,0.052289764
2,3,99,235179,4047,360,460,0.020694875
1,2,91,48321,4502,741,471,0.118250864
2,1,69,125454,1714,130,231,0.016539927
3,3,45,176933,4177,278,183,0.026213312
3,1,24,172236,15906,905,1847,0.108328108
2,2,10,87095,5434,681,407,0.074883748
1,3,79,242012,19740,3260,1407,0.100850371
3,2,103,115610,1326,257,32,0.01396938
3,3,8,178035,8495,765,1231,0.058926616
3,1,97,5532,545,37,58,0.115690528
2,2,14,119527,7432,820,719,0.075054172
3,2,55,153805,13299,775,700,0.096056695
1,3,97,86463,8362,833,883,0.116558528
3,3,42,176186,12624,1848,1804,0.092379644
3,2,5,7456,294,22,12,0.043991416
1,3,108,6413,242,35,35,0.048651177
3,2,12,9085,149,29,11,0.020803522
2,3,106,164009,7954,1428,1170,0.064337933
2,1,85,25563,2361,244,241,0.111332786
2,3,87,264605,14030,1588,871,0.062315527
1,1,67,10386,955,107,65,0.108511458
3,3,37,102244,8541,1528,493,0.103301905
2,3,19,64150,6323,1258,401,0.124427124
1,2,113,163644,15594,2711,1622,0.121770428
3,3,35,128053,9422,1259,208,0.085035103
1,3,25,233032,20602,1330,3003,0.107002472
2,1,7,171343,13249,2559,1588,0.101527346
2,3,70,185882,13626,2439,1939,0.096857146
2,2,39,81566,6068,1069,687,0.095922321
1,1,45,147210,11025,1199,909,0.089212689
1,2,63,132549,5851,685,261,0.05127915
2,2,20,183441,8827,599,769,0.055576452
1,2,60,149718,5459,1040,614,0.047509318
2,2,49,33812,789,151,103,0.030847037
2,1,119,93958,4816,424,299,0.058951872
3,3,63,78181,7114,1098,614,0.112891879
1,2,54,17628,1209,97,121,0.08095076
2,1,89,29486,443,48,42,0.018076375
2,2,16,266290,22104,2107,592,0.093142814
1,3,96,42266,3980,431,329,0.112146879
3,1,16,90268,7641,736,956,0.103392121
3,1,37,48557,3665,373,455,0.092530428
2,3,88,221033,5196,876,446,0.029488809
1,1,108,211803,8770,833,1261,0.051292947
3,3,53,18494,1125,193,143,0.078998594
1,1,25,155643,2633,355,305,0.021157392
1,1,64,37486,733,122,63,0.024489143
2,3,56,224508,21122,3967,2044,0.120855382
3,3,58,63635,4660,329,228,0.081983185
2,1,43,136197,4733,480,422,0.041373892
3,1,109,50814,2005,116,177,0.045223757
3,3,53,125141,5581,619,258,0.051605789
3,3,110,152390,2553,218,366,0.02058534
3,1,68,64363,4925,668,255,0.090859655
3,1,104,45162,1170,195,39,0.031088083
1,1,90,130083,10726,1318,865,0.099236641
2,3,30,12590,1084,108,118,0.104050834
1,1,75,37850,2553,186,115,0.075402906
3,2,11,145206,11512,621,503,0.087021197
2,3,76,292374,7445,1129,401,0.030696984
3,1,66,17058,1054,57,62,0.068765389
2,3,94,84837,6015,1131,312,0.087909756
1,2,92,106397,7398,1029,600,0.084842618
2,3,28,294183,6047,622,135,0.023128461
2,1,44,257903,10572,595,331,0.044582653
2,2,116,201892,7924,887,909,0.048144553
2,2,80,48525,2985,537,219,0.077094281
2,1,51,131681,10385,2029,694,0.099543594
3,1,12,86194,5288,331,112,0.066489547
2,1,58,164515,12821,2135,753,0.095486734
2,3,13,271116,5126,454,649,0.022975405
1,3,7,67936,6048,646,388,0.104245172
2,3,58,114877,6696,884,972,0.074444841
1,1,25,32519,434,86,30,0.016913189
3,1,99,104417,7088,576,569,0.078847314
2,3,52,60881,3443,239,427,0.067492321
1,2,51,27732,827,115,122,0.038367229
1,3,92,151745,11957,2127,816,0.098191044
3,2,72,77909,7325,1078,260,0.111193829
2,1,88,253271,9888,1009,870,0.046460116
2,1,67,10720,583,114,56,0.070242537
1,3,20,62115,1337,266,193,0.028914111
2,3,78,56940,5334,883,393,0.116087109
1,1,111,139225,5386,917,171,0.046500269
2,3,94,76762,2113,346,221,0.034913108
1,1,97,202584,10748,952,244,0.058958259
2,1,9,174091,2419,175,182,0.015945684
3,2,15,86833,2844,378,208,0.039501111
2,3,33,285350,4591,886,243,0.020045558
2,1,113,277880,5964,1083,866,0.028476321
3,3,83,108937,2188,144,158,0.022857248
2,2,74,143043,12661,741,1725,0.105751417
3,2,52,58577,5490,994,477,0.118835038
2,3,19,262989,13861,1967,1755,0.06685831
1,3,111,159796,10664,1019,839,0.078362412
1,1,88,134003,9732,1306,1449,0.093184481
2,2,38,258686,11697,973,1207,0.053644186
2,2,64,60155,2605,500,104,0.053345524
2,2,66,133491,9451,1645,196,0.084589972
1,3,6,145180,6374,1238,897,0.058610001
2,1,112,82613,5146,401,562,0.0739472
1,3,84,203783,11486,2027,388,0.068214719
3,3,23,58938,3371,451,393,0.07151583
1,3,102,104163,8816,870,436,0.097174621
1,1,53,71498,5245,639,656,0.09147109
3,3,82,19751,1905,365,189,0.124500025
1,2,92,114161,9268,1424,334,0.096582896
2,2,32,206818,4781,497,139,0.026192111
2,2,52,299534,22903,4580,1845,0.09791209
1,1,100,104213,7285,742,1032,0.086927735
2,3,41,113712,7748,1333,723,0.086217813
1,1,78,235781,12559,2105,1490,0.06851273
2,3,53,65403,1021,161,82,0.019326331
2,2,113,294003,28116,4229,1966,0.116702891
1,3,52,154950,13430,890,1704,0.103414005
2,3,77,104124,5603,1116,449,0.068840997
1,3,92,128940,3129,232,120,0.026997053
2,1,104,294244,24776,3454,1379,0.10062737
2,3,33,198356,9671,844,899,0.057543003
3,3,64,193048,8708,655,629,0.051759148
3,3,33,173095,12096,1619,818,0.083959675
1,1,62,120350,9421,1652,1007,0.100373909
3,1,52,180781,2830,301,290,0.018923449
1,1,27,124792,9868,607,600,0.088747676
3,3,31,56524,4298,617,286,0.092014012
2,2,99,107757,6791,1120,799,0.080830016
1,2,111,88049,3562,336,497,0.049915388
1,2,11,47974,1191,182,74,0.030162171
2,3,53,182550,3512,215,203,0.021528348
1,2,58,56768,573,59,31,0.011679115
1,2,113,214468,6129,742,235,0.033133148
3,2,72,50544,2376,397,164,0.058107787
1,3,82,152122,4856,489,422,0.037910361
2,2,110,155856,5892,695,529,0.04565753
3,2,46,13774,621,89,68,0.056483229
3,3,78,168040,6342,910,170,0.044168055
2,1,63,82678,6218,793,578,0.091789835
