,date,category,sales,quantity,customer_id
50,2023-01-09,Clothing,317.48,4,1021
51,2023-01-09,Home,374.53,8,1005
52,2023-01-09,Clothing,217.82,9,1014
53,2023-01-09,Home,134.77,9,1000
54,2023-01-09,Electronics,302.73,2,1022
55,2023-01-09,Home,47.3,3,1003
56,2023-01-09,Home,450.05,4,1036
59,2023-01-11,Electronics,320.4,2,1010
57,2023-01-11,Electronics,412.42,1,1014
58,2023-01-11,Home,295.69,8,1039
63,2023-01-12,Electronics,473.6,3,1021
62,2023-01-12,Clothing,15.39,2,1036
60,2023-01-12,Electronics,275.93,4,1024
61,2023-01-12,Clothing,427.09,4,1046
64,2023-01-13,Electronics,155.19,7,1030
65,2023-01-13,Electronics,173.41,6,1022
66,2023-01-13,Clothing,432.44,9,1025
67,2023-01-14,Clothing,62.23,4,1030
68,2023-01-14,Electronics,292.38,3,1003
69,2023-01-14,Electronics,194.7,2,1025
70,2023-01-14,Electronics,406.84,3,1043
71,2023-01-14,Clothing,395.31,1,1002
76,2023-01-15,Electronics,467.84,9,1044
79,2023-01-15,Electronics,36.83,6,1031
78,2023-01-15,Electronics,448.01,5,1029
77,2023-01-15,Electronics,440.77,6,1028
75,2023-01-15,Home,376.33,3,1005
74,2023-01-15,Clothing,497.5,4,1041
73,2023-01-15,Electronics,72.51,7,1043
72,2023-01-15,Home,101.65,6,1029
80,2023-01-16,Electronics,440.53,9,1020
81,2023-01-16,Clothing,292.49,5,1018
82,2023-01-16,Electronics,216.5,8,1034
83,2023-01-16,Electronics,478.27,9,1041
84,2023-01-16,Clothing,475.48,6,1032
85,2023-01-17,Home,279.92,7,1013
86,2023-01-17,Clothing,411.36,2,1049
87,2023-01-17,Clothing,153.64,9,1010
88,2023-01-17,Home,206.95,4,1042
89,2023-01-17,Home,458.59,7,1017
93,2023-01-18,Electronics,335.95,8,1001
92,2023-01-18,Electronics,75.86,2,1039
91,2023-01-18,Electronics,397.45,4,1046
90,2023-01-18,Electronics,335.2,2,1004
94,2023-01-19,Home,335.87,7,1000
95,2023-01-19,Clothing,29.32,6,1010
96,2023-01-19,Home,210.14,2,1033
97,2023-01-19,Clothing,331.07,3,1016
98,2023-01-19,Clothing,223.7,9,1016
99,2023-01-19,Electronics,401.96,5,1025
100,2023-01-19,Home,384.17,9,1000
101,2023-01-20,Home,197.74,6,1023
102,2023-01-20,Electronics,78.66,5,1001
103,2023-01-20,Clothing,252.79,3,1024
104,2023-01-20,Home,315.83,4,1012
105,2023-01-20,Clothing,198.32,4,1021
110,2023-01-21,Clothing,46.82,1,1007
109,2023-01-21,Electronics,270.97,6,1044
107,2023-01-21,Electronics,326.5,3,1020
106,2023-01-21,Clothing,64.9,7,1022
108,2023-01-21,Clothing,405.21,3,1039
111,2023-01-22,Clothing,88.73,1,1005
112,2023-01-22,Electronics,118.04,2,1043
113,2023-01-22,Clothing,357.1,7,1037
114,2023-01-22,Home,54.88,9,1040
115,2023-01-22,Clothing,410.37,6,1043
120,2023-01-23,Home,470.14,4,1043
116,2023-01-23,Electronics,267.59,1,1048
117,2023-01-23,Electronics,344.8,8,1036
118,2023-01-23,Home,455.14,1,1035
119,2023-01-23,Electronics,205.51,6,1005
128,2023-01-24,Electronics,264.27,4,1016
127,2023-01-24,Clothing,150.75,7,1049
129,2023-01-24,Clothing,423.83,3,1019
126,2023-01-24,Electronics,371.64,2,1020
124,2023-01-24,Electronics,42.2,9,1049
125,2023-01-24,Clothing,84.9,7,1002
123,2023-01-24,Home,317.58,9,1048
122,2023-01-24,Electronics,436.35,5,1039
121,2023-01-24,Clothing,16.37,2,1025
130,2023-01-25,Home,307.79,8,1041
131,2023-01-25,Electronics,287.54,5,1027
132,2023-01-25,Electronics,183.76,7,1026
133,2023-01-25,Clothing,166.19,7,1017
134,2023-01-26,Electronics,174.1,6,1041
135,2023-01-26,Electronics,371.42,1,1028
141,2023-01-27,Electronics,112.85,5,1016
139,2023-01-27,Electronics,437.74,4,1011
140,2023-01-27,Clothing,307.29,6,1024
137,2023-01-27,Clothing,51.82,1,1015
136,2023-01-27,Home,275.53,6,1035
138,2023-01-27,Electronics,498.99,6,1010
142,2023-01-28,Home,215.27,6,1008
143,2023-01-28,Home,180.01,7,1033
144,2023-01-28,Home,426.11,2,1031
145,2023-01-28,Electronics,363.9,1,1013
146,2023-01-28,Clothing,254.2,2,1014
147,2023-01-29,Electronics,271.4,5,1034
148,2023-01-29,Clothing,403.4,9,1042
153,2023-01-30,Clothing,294.49,6,1008
149,2023-01-30,Electronics,155.7,9,1039
150,2023-01-30,Electronics,449.42,2,1001
151,2023-01-30,Clothing,406.66,2,1011
152,2023-01-30,Clothing,332.8,6,1001
154,2023-01-30,Electronics,459.48,9,1040
155,2023-01-31,Home,94.12,7,1014
156,2023-02-01,Electronics,91.85,9,1046
157,2023-02-01,Home,429.29,4,1031
158,2023-02-01,Clothing,365.14,9,1038
159,2023-02-01,Electronics,205.1,7,1018
160,2023-02-01,Home,129.15,7,1036
161,2023-02-01,Home,438.21,9,1007
162,2023-02-01,Home,20.42,9,1045
163,2023-02-01,Electronics,266.95,2,1006
173,2023-02-02,Electronics,245.14,5,1024
172,2023-02-02,Electronics,164.49,2,1011
171,2023-02-02,Home,387.75,9,1016
170,2023-02-02,Electronics,401.71,2,1002
169,2023-02-02,Clothing,400.67,3,1001
167,2023-02-02,Clothing,204.95,9,1029
166,2023-02-02,Clothing,401.93,1,1009
165,2023-02-02,Clothing,302.45,1,1047
164,2023-02-02,Home,91.48,4,1019
168,2023-02-02,Home,179.39,8,1024
174,2023-02-03,Electronics,439.83,9,1000
175,2023-02-03,Electronics,414.09,8,1023
176,2023-02-03,Electronics,133.38,1,1001
181,2023-02-04,Home,204.67,6,1026
177,2023-02-04,Clothing,368.13,5,1015
178,2023-02-04,Clothing,463.37,9,1014
179,2023-02-04,Clothing,309.61,7,1034
180,2023-02-04,Home,72.47,8,1001
182,2023-02-04,Electronics,25.28,2,1007
187,2023-02-05,Electronics,493.98,4,1043
185,2023-02-05,Clothing,280.5,1,1040
186,2023-02-05,Electronics,130.22,2,1045
183,2023-02-05,Clothing,42.58,3,1033
184,2023-02-05,Home,12.27,2,1001
188,2023-02-06,Clothing,103.44,8,1028
189,2023-02-06,Home,451.01,2,1012
190,2023-02-06,Clothing,236.38,1,1000
191,2023-02-06,Home,432.4,6,1029
192,2023-02-07,Electronics,77.04,5,1024
193,2023-02-07,Clothing,449.2,9,1020
194,2023-02-07,Clothing,49.31,8,1037
195,2023-02-07,Electronics,200.75,5,1035
196,2023-02-08,Electronics,174.94,7,1027
197,2023-02-08,Home,386.45,4,1012
198,2023-02-08,Electronics,21.01,8,1039
199,2023-02-08,Clothing,192.92,3,1004
201,2023-02-09,Home,73.46,7,1035
202,2023-02-09,Clothing,276.34,9,1021
200,2023-02-09,Home,218.35,8,1049
203,2023-02-10,Clothing,313.84,6,1044
204,2023-02-10,Electronics,35.2,8,1046
205,2023-02-10,Electronics,122.33,9,1017
206,2023-02-11,Home,230.91,9,1031
207,2023-02-11,Home,443.06,2,1034
208,2023-02-11,Clothing,19.01,6,1022
209,2023-02-11,Clothing,282.81,4,1030
210,2023-02-11,Electronics,216.46,2,1001
211,2023-02-11,Electronics,231.59,8,1024
212,2023-02-12,Electronics,438.1,3,1027
213,2023-02-12,Electronics,174.25,3,1028
219,2023-02-13,Home,458.27,2,1022
216,2023-02-13,Electronics,286.77,3,1038
220,2023-02-13,Electronics,417.0,1,1038
218,2023-02-13,Electronics,185.83,8,1008
214,2023-02-13,Clothing,126.71,6,1020
215,2023-02-13,Home,26.63,5,1008
217,2023-02-13,Home,85.14,1,1015
221,2023-02-14,Clothing,120.06,7,1001
222,2023-02-14,Clothing,219.61,4,1012
223,2023-02-14,Clothing,396.41,2,1023
224,2023-02-15,Electronics,416.17,2,1043
225,2023-02-15,Electronics,485.82,1,1024
226,2023-02-15,Home,21.96,7,1045
230,2023-02-16,Home,258.73,8,1016
229,2023-02-16,Home,54.83,6,1047
231,2023-02-16,Home,438.6,4,1006
227,2023-02-16,Home,466.74,7,1024
228,2023-02-16,Electronics,70.91,5,1032
232,2023-02-17,Clothing,472.59,8,1033
233,2023-02-17,Electronics,342.23,1,1025
234,2023-02-17,Electronics,98.98,2,1032
235,2023-02-17,Electronics,157.68,7,1017
236,2023-02-17,Clothing,366.81,1,1039
237,2023-02-17,Clothing,492.2,8,1028
238,2023-02-17,Clothing,95.93,8,1044
239,2023-02-17,Electronics,111.15,5,1022
240,2023-02-17,Clothing,350.4,6,1048
242,2023-02-18,Clothing,93.73,4,1004
241,2023-02-18,Home,38.34,7,1003
243,2023-02-18,Home,288.29,1,1039
245,2023-02-19,Clothing,373.15,9,1013
244,2023-02-19,Clothing,64.13,9,1014
246,2023-02-19,Home,492.36,4,1007
251,2023-02-20,Home,241.31,1,1037
252,2023-02-20,Electronics,492.57,8,1027
250,2023-02-20,Home,475.62,9,1049
249,2023-02-20,Home,85.64,7,1015
248,2023-02-20,Home,328.33,8,1007
247,2023-02-20,Home,66.27,2,1011
253,2023-02-21,Clothing,448.33,1,1032
254,2023-02-21,Clothing,375.27,4,1001
255,2023-02-21,Home,484.86,9,1039
256,2023-02-21,Home,432.27,7,1036
257,2023-02-21,Electronics,284.22,2,1021
258,2023-02-21,Home,445.49,9,1021
259,2023-02-21,Clothing,461.21,4,1013
265,2023-02-22,Electronics,470.52,4,1046
264,2023-02-22,Electronics,85.41,1,1020
263,2023-02-22,Electronics,28.13,9,1031
260,2023-02-22,Clothing,101.42,9,1001
261,2023-02-22,Clothing,382.51,7,1020
262,2023-02-22,Clothing,329.85,9,1044
271,2023-02-23,Clothing,90.19,3,1001
273,2023-02-23,Electronics,118.77,4,1038
272,2023-02-23,Home,444.13,2,1012
270,2023-02-23,Home,115.32,7,1031
268,2023-02-23,Clothing,33.01,7,1004
267,2023-02-23,Home,228.54,4,1009
266,2023-02-23,Clothing,399.68,6,1049
269,2023-02-23,Clothing,95.21,1,1033
274,2023-02-24,Electronics,309.2,4,1007
275,2023-02-24,Clothing,204.62,7,1016
276,2023-02-24,Clothing,140.14,3,1008
277,2023-02-24,Electronics,364.48,7,1015
278,2023-02-25,Electronics,210.28,2,1020
279,2023-02-25,Clothing,110.44,1,1048
280,2023-02-26,Electronics,78.28,9,1007
281,2023-02-26,Electronics,18.76,8,1023
282,2023-02-26,Home,79.02,7,1049
288,2023-02-27,Home,311.77,5,1020
290,2023-02-27,Clothing,245.49,7,1019
289,2023-02-27,Home,137.28,6,1010
287,2023-02-27,Electronics,434.1,5,1021
284,2023-02-27,Electronics,101.35,8,1004
285,2023-02-27,Home,392.0,3,1002
283,2023-02-27,Electronics,261.22,1,1015
286,2023-02-27,Electronics,99.14,6,1006
291,2023-02-28,Electronics,460.73,3,1004
292,2023-02-28,Home,465.39,2,1028
293,2023-02-28,Electronics,177.49,3,1028
294,2023-02-28,Clothing,232.11,5,1034
295,2023-02-28,Clothing,299.21,1,1003
296,2023-02-28,Home,86.51,5,1014
297,2023-02-28,Electronics,210.61,8,1048
307,2023-03-01,Home,180.95,6,1017
306,2023-03-01,Home,281.55,1,1031
305,2023-03-01,Electronics,167.95,1,1039
304,2023-03-01,Clothing,124.47,8,1014
303,2023-03-01,Home,491.37,3,1033
301,2023-03-01,Clothing,409.76,3,1045
300,2023-03-01,Electronics,399.07,6,1017
299,2023-03-01,Home,204.16,7,1042
298,2023-03-01,Electronics,147.19,6,1015
302,2023-03-01,Electronics,69.08,8,1020
308,2023-03-02,Electronics,187.91,9,1031
309,2023-03-02,Clothing,301.59,1,1037
310,2023-03-02,Clothing,493.96,1,1031
311,2023-03-02,Electronics,400.74,8,1039
320,2023-03-03,Electronics,117.89,7,1018
325,2023-03-03,Clothing,96.5,4,1000
324,2023-03-03,Electronics,295.86,2,1030
323,2023-03-03,Home,319.81,5,1034
322,2023-03-03,Electronics,480.92,3,1045
321,2023-03-03,Clothing,498.47,7,1032
319,2023-03-03,Electronics,218.46,6,1011
312,2023-03-03,Home,198.11,4,1014
317,2023-03-03,Clothing,410.13,5,1002
313,2023-03-03,Home,231.7,5,1010
314,2023-03-03,Electronics,86.07,4,1013
318,2023-03-03,Clothing,128.78,2,1015
316,2023-03-03,Clothing,168.6,1,1015
315,2023-03-03,Electronics,110.52,4,1038
332,2023-03-04,Home,123.52,8,1036
331,2023-03-04,Electronics,123.03,5,1007
330,2023-03-04,Home,409.14,9,1020
333,2023-03-04,Clothing,421.06,8,1012
328,2023-03-04,Home,52.62,5,1013
327,2023-03-04,Electronics,351.18,6,1031
326,2023-03-04,Home,177.62,9,1008
329,2023-03-04,Home,426.79,6,1020
337,2023-03-05,Clothing,332.64,1,1038
336,2023-03-05,Electronics,151.43,3,1019
338,2023-03-05,Home,98.48,5,1016
334,2023-03-05,Home,132.34,9,1030
335,2023-03-05,Electronics,211.09,6,1034
339,2023-03-06,Electronics,84.32,8,1041
340,2023-03-06,Electronics,18.87,2,1040
341,2023-03-06,Clothing,343.03,6,1042
342,2023-03-07,Home,310.57,6,1043
343,2023-03-07,Electronics,368.96,7,1029
344,2023-03-07,Clothing,401.4,5,1031
345,2023-03-07,Electronics,371.38,4,1009
349,2023-03-08,Home,130.74,9,1014
350,2023-03-08,Electronics,474.74,4,1040
347,2023-03-08,Clothing,274.35,5,1040
346,2023-03-08,Home,124.15,7,1007
348,2023-03-08,Home,351.76,1,1003
351,2023-03-09,Home,173.78,8,1027
352,2023-03-09,Clothing,416.81,2,1035
353,2023-03-09,Home,119.67,1,1026
354,2023-03-10,Home,434.97,9,1009
355,2023-03-10,Electronics,51.9,3,1003
356,2023-03-10,Clothing,118.39,3,1031
357,2023-03-10,Electronics,77.07,8,1007
362,2023-03-11,Clothing,464.6,3,1031
360,2023-03-11,Electronics,363.91,9,1044
361,2023-03-11,Electronics,42.87,8,1038
358,2023-03-11,Electronics,137.12,6,1037
359,2023-03-11,Home,23.0,5,1047
363,2023-03-12,Clothing,273.32,9,1030
364,2023-03-12,Clothing,248.84,5,1028
365,2023-03-12,Electronics,131.76,1,1013
366,2023-03-12,Home,465.47,3,1007
367,2023-03-13,Clothing,149.05,5,1026
368,2023-03-13,Electronics,305.54,8,1030
369,2023-03-13,Home,377.48,4,1039
370,2023-03-13,Home,350.03,6,1009
371,2023-03-13,Clothing,256.33,5,1034
373,2023-03-14,Home,35.39,3,1022
372,2023-03-14,Electronics,324.16,6,1017
374,2023-03-14,Electronics,410.55,7,1028
375,2023-03-15,Electronics,202.3,1,1010
376,2023-03-16,Home,16.42,8,1020
377,2023-03-16,Electronics,337.36,6,1034
378,2023-03-16,Electronics,306.83,2,1049
379,2023-03-16,Home,493.39,7,1007
380,2023-03-16,Home,50.57,7,1039
381,2023-03-17,Clothing,485.04,2,1007
382,2023-03-17,Electronics,53.81,8,1018
383,2023-03-17,Electronics,143.35,9,1035
384,2023-03-18,Clothing,65.49,2,1031
385,2023-03-18,Electronics,256.08,1,1003
386,2023-03-19,Electronics,286.92,2,1012
387,2023-03-19,Electronics,123.78,8,1021
388,2023-03-19,Clothing,469.79,4,1011
390,2023-03-20,Electronics,390.01,4,1036
389,2023-03-20,Electronics,370.86,6,1003
391,2023-03-21,Electronics,196.05,9,1041
392,2023-03-21,Electronics,387.05,1,1041
393,2023-03-21,Electronics,315.88,1,1041
394,2023-03-21,Electronics,138.51,2,1009
395,2023-03-21,Electronics,458.06,2,1023
396,2023-03-22,Home,22.44,8,1037
397,2023-03-22,Home,64.21,6,1020
398,2023-03-22,Clothing,98.8,6,1037
399,2023-03-23,Electronics,141.65,6,1020
400,2023-03-23,Clothing,469.05,1,1004
401,2023-03-23,Home,67.28,4,1011
402,2023-03-24,Clothing,289.68,7,1007
404,2023-03-25,Clothing,151.46,1,1010
403,2023-03-25,Clothing,187.57,3,1018
405,2023-03-25,Home,241.07,2,1005
407,2023-03-26,Electronics,454.17,7,1036
406,2023-03-26,Electronics,176.54,5,1029
408,2023-03-27,Electronics,181.56,4,1000
409,2023-03-27,Clothing,186.88,9,1013
410,2023-03-27,Home,179.71,3,1018
411,2023-03-27,Clothing,471.94,9,1046
412,2023-03-27,Clothing,297.25,4,1045
413,2023-03-27,Clothing,98.9,1,1017
414,2023-03-27,Home,269.18,3,1022
420,2023-03-28,Home,214.61,7,1022
419,2023-03-28,Electronics,123.23,7,1004
418,2023-03-28,Electronics,184.49,5,1037
415,2023-03-28,Clothing,495.67,9,1024
416,2023-03-28,Home,450.79,3,1042
417,2023-03-28,Clothing,42.02,5,1048
425,2023-03-29,Home,26.43,5,1002
426,2023-03-29,Electronics,439.62,6,1013
423,2023-03-29,Home,94.95,8,1043
421,2023-03-29,Clothing,126.24,4,1002
422,2023-03-29,Electronics,206.42,1,1013
424,2023-03-29,Clothing,206.37,2,1027
434,2023-03-30,Clothing,287.21,4,1036
427,2023-03-30,Home,362.33,8,1018
428,2023-03-30,Clothing,419.12,5,1021
429,2023-03-30,Clothing,162.74,8,1029
430,2023-03-30,Home,78.24,9,1037
431,2023-03-30,Home,97.24,3,1027
432,2023-03-30,Home,136.37,4,1035
433,2023-03-30,Home,495.08,4,1019
442,2023-03-31,Clothing,463.53,7,1011
441,2023-03-31,Clothing,343.94,7,1029
444,2023-03-31,Home,144.29,1,1004
443,2023-03-31,Home,49.71,1,1005
440,2023-03-31,Home,84.74,8,1033
437,2023-03-31,Home,154.29,6,1008
438,2023-03-31,Clothing,252.98,9,1030
439,2023-03-31,Home,385.92,2,1021
436,2023-03-31,Electronics,266.3,2,1026
435,2023-03-31,Home,58.73,8,1017
445,2023-04-01,Home,257.89,6,1002
446,2023-04-01,Clothing,337.64,4,1012
454,2023-04-02,Home,23.28,8,1022
453,2023-04-02,Clothing,472.92,6,1029
452,2023-04-02,Clothing,351.74,3,1024
451,2023-04-02,Clothing,211.8,4,1021
449,2023-04-02,Clothing,136.36,2,1033
448,2023-04-02,Electronics,192.62,3,1019
447,2023-04-02,Electronics,290.09,1,1046
450,2023-04-02,Clothing,335.13,9,1008
460,2023-04-03,Home,221.51,6,1004
461,2023-04-03,Clothing,420.14,4,1045
462,2023-04-03,Electronics,90.49,1,1040
459,2023-04-03,Electronics,299.24,1,1020
456,2023-04-03,Clothing,243.26,6,1042
457,2023-04-03,Home,166.36,8,1020
455,2023-04-03,Home,214.71,2,1017
458,2023-04-03,Clothing,462.95,1,1013
463,2023-04-04,Electronics,143.43,3,1016
464,2023-04-04,Clothing,299.72,4,1028
465,2023-04-04,Home,294.24,1,1040
466,2023-04-05,Home,236.71,4,1003
467,2023-04-05,Electronics,302.17,3,1045
468,2023-04-05,Home,316.69,6,1020
475,2023-04-06,Clothing,435.55,5,1047
474,2023-04-06,Clothing,225.97,4,1026
473,2023-04-06,Home,436.25,7,1019
470,2023-04-06,Electronics,180.43,5,1034
471,2023-04-06,Clothing,339.23,2,1000
469,2023-04-06,Home,300.54,5,1001
472,2023-04-06,Electronics,71.08,2,1030
476,2023-04-07,Clothing,249.82,7,1015
477,2023-04-07,Clothing,47.71,2,1034
478,2023-04-07,Home,349.22,2,1012
479,2023-04-07,Electronics,27.91,2,1035
480,2023-04-07,Electronics,447.41,4,1040
481,2023-04-07,Electronics,82.84,3,1006
482,2023-04-07,Home,19.66,7,1012
483,2023-04-07,Clothing,381.54,2,1024
485,2023-04-08,Electronics,239.03,5,1038
486,2023-04-08,Electronics,111.86,5,1033
484,2023-04-08,Electronics,368.79,6,1026
487,2023-04-09,Electronics,304.25,9,1042
488,2023-04-09,Clothing,122.7,5,1048
489,2023-04-09,Home,437.34,6,1005
490,2023-04-09,Clothing,184.28,7,1014
491,2023-04-09,Home,439.96,5,1012
492,2023-04-09,Clothing,242.36,3,1021
493,2023-04-09,Electronics,155.59,6,1006
494,2023-04-09,Home,458.01,5,1023
495,2023-04-09,Clothing,127.0,4,1020
496,2023-04-09,Clothing,474.17,9,1045
498,2023-04-10,Electronics,253.22,8,1031
497,2023-04-10,Clothing,59.87,2,1043
499,2023-04-10,Electronics,225.18,8,1022
