Transaction_ID,Date,Account_ID,Account_Name,Category,Description,Debit,Credit
TXN-146,4/21/2026,1000,Cash,Asset,Employee salary payout,0,4363.73
TXN-104,4/22/2026,5100,Salary Expense,Expense,Employee salary payout,329.24,0
TXN-104,4/22/2026,1000,Cash,Asset,Employee salary payout,0,329.24
TXN-107,4/22/2026,1000,Cash,Asset,Cash sale to customer,84.98,0
TXN-107,4/22/2026,4000,Sales Revenue,Revenue,Cash sale to customer,0,84.98
TXN-103,4/24/2026,5000,Rent Expense,Expense,Monthly rent payment,1701.86,0
TXN-103,4/24/2026,1000,Cash,Asset,Monthly rent payment,0,1701.86
TXN-124,4/24/2026,5100,Salary Expense,Expense,Employee salary payout,1815.93,0
TXN-124,4/24/2026,1000,Cash,Asset,Employee salary payout,0,1815.93
TXN-113,4/25/2026,1200,Accounts Receivable,Asset,Invoice sent to customer,4829.88,0
TXN-113,4/25/2026,4000,Sales Revenue,Revenue,Invoice sent to customer,0,4829.88
TXN-122,4/25/2026,5200,Office Supplies,Expense,Bought supplies on credit,4807.8,0
TXN-122,4/25/2026,2000,Accounts Payable,Liability,Bought supplies on credit,0,4807.8
TXN-127,4/25/2026,1000,Cash,Asset,Cash sale to customer,4935.09,0
TXN-127,4/25/2026,4000,Sales Revenue,Revenue,Cash sale to customer,0,4935.09
TXN-114,4/26/2026,5200,Office Supplies,Expense,Bought supplies on credit,1557.84,0
TXN-114,4/26/2026,2000,Accounts Payable,Liability,Bought supplies on credit,0,1557.84
TXN-120,4/26/2026,1200,Accounts Receivable,Asset,Invoice sent to customer,2276.28,0
TXN-120,4/26/2026,4000,Sales Revenue,Revenue,Invoice sent to customer,0,2276.28
TXN-148,4/26/2026,1000,Cash,Asset,Cash sale to customer,654.34,0
TXN-148,4/26/2026,4000,Sales Revenue,Revenue,Cash sale to customer,0,654.34
TXN-109,4/28/2026,5000,Rent Expense,Expense,Monthly rent payment,4870.09,0
TXN-109,4/28/2026,1000,Cash,Asset,Monthly rent payment,0,4870.09
TXN-125,4/28/2026,1000,Cash,Asset,Cash sale to customer,2736.35,0
TXN-125,4/28/2026,4000,Sales Revenue,Revenue,Cash sale to customer,0,2736.35
TXN-132,4/28/2026,5100,Salary Expense,Expense,Employee salary payout,4322.36,0
TXN-132,4/28/2026,1000,Cash,Asset,Employee salary payout,0,4322.36
TXN-126,4/29/2026,1000,Cash,Asset,Cash sale to customer,4020.88,0
TXN-126,4/29/2026,4000,Sales Revenue,Revenue,Cash sale to customer,0,4020.88
TXN-105,4/30/2026,5100,Salary Expense,Expense,Employee salary payout,1101.08,0
TXN-105,4/30/2026,1000,Cash,Asset,Employee salary payout,0,1101.08
TXN-121,4/30/2026,5100,Salary Expense,Expense,Employee salary payout,4636.96,0
TXN-121,4/30/2026,1000,Cash,Asset,Employee salary payout,0,4636.96
